open,high,low,close,volume,datetime
144.91,146.72,144.29,145.46,459822,2017-01-04 01:00:00-05:00
145.13,146.98,143.92,144.42,500949,2017-01-05 01:00:00-05:00
144.29,145.37,143.88,144.45,461519,2017-01-06 01:00:00-05:00
144.01,144.29,142.07,144.15,814092,2017-01-09 01:00:00-05:00
144.63,145.0,143.98,144.24,523282,2017-01-10 01:00:00-05:00
144.0,144.99,143.5,144.03,465498,2017-01-11 01:00:00-05:00
143.82,144.67,141.8,142.99,425478,2017-01-12 01:00:00-05:00
143.56,144.68,142.74,143.37,451617,2017-01-13 01:00:00-05:00
142.87,143.5,140.75,141.63,718626,2017-01-17 01:00:00-05:00
141.5,143.23,141.45,142.84,659883,2017-01-18 01:00:00-05:00
143.17,144.1934,141.925,142.54,589449,2017-01-19 01:00:00-05:00
142.97,143.39,141.88,142.1,434368,2017-01-20 01:00:00-05:00
142.08,142.85,140.275,141.14,669711,2017-01-23 01:00:00-05:00
141.54,144.61,141.28,144.15,594677,2017-01-24 01:00:00-05:00
144.96,145.89,143.27,145.75,1222744,2017-01-25 01:00:00-05:00
139.3,139.87,132.58,133.72,2725193,2017-01-26 01:00:00-05:00
133.28,138.27,133.28,135.54,1342655,2017-01-27 01:00:00-05:00
135.06,135.58,133.75,134.69,838859,2017-01-30 01:00:00-05:00
132.6,135.49,132.51,134.03,985482,2017-01-31 01:00:00-05:00
134.07,134.09,131.54,132.34,1292752,2017-02-01 01:00:00-05:00
130.8,134.79,130.61,134.45,1159597,2017-02-02 01:00:00-05:00
134.4,136.52,134.4,136.23,969580,2017-02-03 01:00:00-05:00
135.54,136.99,135.01,136.68,959985,2017-02-06 01:00:00-05:00
137.0,138.59,136.78,138.57,782365,2017-02-07 01:00:00-05:00
138.13,139.49,137.86,138.88,734873,2017-02-08 01:00:00-05:00
139.14,140.69,139.14,139.73,714488,2017-02-09 01:00:00-05:00
140.0,140.25,139.01,139.69,574195,2017-02-10 01:00:00-05:00
140.09,141.88,139.45,140.47,1021827,2017-02-13 01:00:00-05:00
140.43,141.22,140.18,141.1,580652,2017-02-14 01:00:00-05:00
141.3,143.57,140.685,143.13,870111,2017-02-15 01:00:00-05:00
143.34,143.785,141.66,143.24,463348,2017-02-16 01:00:00-05:00
142.87,143.63,141.93,143.35,512244,2017-02-17 01:00:00-05:00
143.31,145.55,142.3,145.05,487289,2017-02-21 01:00:00-05:00
144.66,145.38,143.91,144.84,623503,2017-02-22 01:00:00-05:00
144.94,145.05,143.235,144.2,426212,2017-02-23 01:00:00-05:00
143.73,144.58,143.19,144.41,636340,2017-02-24 01:00:00-05:00
144.46,144.665,143.09,143.61,420531,2017-02-27 01:00:00-05:00
143.27,143.67,142.33,143.27,589674,2017-02-28 01:00:00-05:00
144.01,145.982,143.31,145.08,527538,2017-03-01 01:00:00-05:00
144.79,144.79,142.04,142.1,459340,2017-03-02 01:00:00-05:00
142.5,143.065,140.4,142.87,772557,2017-03-03 01:00:00-05:00
142.66,142.66,141.28,141.34,557132,2017-03-06 01:00:00-05:00
141.09,143.93,140.5,143.6,663145,2017-03-07 01:00:00-05:00
143.46,143.77,142.24,142.88,569450,2017-03-08 01:00:00-05:00
143.11,144.1,142.12,143.76,454269,2017-03-09 01:00:00-05:00
144.58,145.98,144.0,145.93,556531,2017-03-10 01:00:00-05:00
146.0,146.99,144.71,146.29,744148,2017-03-13 01:00:00-04:00
145.56,145.73,144.2,145.13,334809,2017-03-14 01:00:00-04:00
145.73,147.02,144.75,146.48,423170,2017-03-15 01:00:00-04:00
146.4,148.0,145.96,147.82,611112,2017-03-16 01:00:00-04:00
147.91,149.11,147.38,148.79,660992,2017-03-17 01:00:00-04:00
148.66,149.5,147.74,148.75,490672,2017-03-20 01:00:00-04:00
149.32,149.44,145.57,145.77,630397,2017-03-21 01:00:00-04:00
145.94,146.6,145.026,145.69,600222,2017-03-22 01:00:00-04:00
145.48,148.1995,145.05,146.55,662531,2017-03-23 01:00:00-04:00
146.96,148.19,145.57,146.57,389457,2017-03-24 01:00:00-04:00
145.64,147.09,144.16,146.52,617654,2017-03-27 01:00:00-04:00
146.5,147.54,145.0,147.13,397033,2017-03-28 01:00:00-04:00
141.19,143.5,140.63,142.1,1488742,2017-03-29 01:00:00-04:00
141.72,142.9,141.556,142.48,507910,2017-03-30 01:00:00-04:00
142.66,143.05,141.94,142.57,592317,2017-03-31 01:00:00-04:00
142.73,142.92,139.86,141.02,682617,2017-04-03 01:00:00-04:00
140.98,141.57,139.12,139.43,701320,2017-04-04 01:00:00-04:00
139.89,141.15,137.76,138.09,889302,2017-04-05 01:00:00-04:00
138.3,139.15,137.19,138.3,854788,2017-04-06 01:00:00-04:00
137.9,138.055,136.97,137.03,633529,2017-04-07 01:00:00-04:00
137.37,137.84,136.28,136.86,613689,2017-04-10 01:00:00-04:00
136.88,137.25,135.7,136.68,828304,2017-04-11 01:00:00-04:00
137.24,137.28,134.73,134.88,947725,2017-04-12 01:00:00-04:00
135.07,136.41,134.3,134.43,989587,2017-04-13 01:00:00-04:00
134.98,136.35,134.43,135.98,733934,2017-04-17 01:00:00-04:00
135.79,136.34,135.085,135.43,707441,2017-04-18 01:00:00-04:00
135.61,136.73,135.58,135.93,887512,2017-04-19 01:00:00-04:00
136.62,137.21,136.03,136.87,1227319,2017-04-20 01:00:00-04:00
136.79,137.1,136.13,136.54,811794,2017-04-21 01:00:00-04:00
137.92,138.54,136.93,137.93,999605,2017-04-24 01:00:00-04:00
137.52,139.34,137.51,138.19,1056075,2017-04-25 01:00:00-04:00
138.68,139.09,137.3,137.3,1433788,2017-04-26 01:00:00-04:00
126.01,130.05,125.3,126.99,3780003,2017-04-27 01:00:00-04:00
126.96,129.68,126.68,129.13,1684245,2017-04-28 01:00:00-04:00
128.91,130.3,127.11,127.4,1277448,2017-05-01 01:00:00-04:00
126.15,127.68,125.6,127.5,1151535,2017-05-02 01:00:00-04:00
126.67,127.79,126.29,126.99,977805,2017-05-03 01:00:00-04:00
127.12,127.7,125.97,126.42,1130272,2017-05-04 01:00:00-04:00
126.99,128.72,126.63,128.57,1109339,2017-05-05 01:00:00-04:00
128.58,129.84,128.09,129.76,1222233,2017-05-08 01:00:00-04:00
129.98,131.49,129.52,130.84,1022485,2017-05-09 01:00:00-04:00
130.59,131.67,129.46,131.6,1251676,2017-05-10 01:00:00-04:00
131.14,131.48,129.64,129.94,977464,2017-05-11 01:00:00-04:00
129.63,130.25,129.08,129.16,899018,2017-05-12 01:00:00-04:00
129.64,131.78,129.38,131.72,1065217,2017-05-15 01:00:00-04:00
131.46,131.93,130.23,131.38,782459,2017-05-16 01:00:00-04:00
129.9,130.62,127.71,127.87,1082749,2017-05-17 01:00:00-04:00
126.89,128.02,124.27,125.9,1271062,2017-05-18 01:00:00-04:00
126.44,127.51,126.385,127.15,655583,2017-05-19 01:00:00-04:00
127.54,129.22,127.25,128.55,662070,2017-05-22 01:00:00-04:00
128.61,128.81,124.94,125.99,740931,2017-05-23 01:00:00-04:00
126.27,126.92,125.5301,126.85,717142,2017-05-24 01:00:00-04:00
127.0,127.8548,126.42,127.58,377124,2017-05-25 01:00:00-04:00
127.4,127.4,126.4,127.16,354104,2017-05-26 01:00:00-04:00
127.02,129.08,126.82,128.0,489480,2017-05-30 01:00:00-04:00
128.56,129.0,126.48,128.13,1106113,2017-05-31 01:00:00-04:00
128.85,130.09,128.58,130.09,721461,2017-06-01 01:00:00-04:00
129.84,130.39,129.06,129.31,509525,2017-06-02 01:00:00-04:00
129.01,130.34,128.82,129.66,580872,2017-06-05 01:00:00-04:00
129.35,129.935,128.8,129.52,618032,2017-06-06 01:00:00-04:00
129.44,129.9,126.92,127.97,879899,2017-06-07 01:00:00-04:00
128.24,130.99,127.7,130.83,687573,2017-06-08 01:00:00-04:00
130.97,131.69,128.09,129.3,675191,2017-06-09 01:00:00-04:00
128.19,128.94,126.98,128.68,795374,2017-06-12 01:00:00-04:00
128.58,130.52,128.58,130.14,553982,2017-06-13 01:00:00-04:00
130.74,132.2,129.03,129.78,702726,2017-06-14 01:00:00-04:00
129.13,130.36,128.43,129.35,574691,2017-06-15 01:00:00-04:00
129.76,130.19,128.0,129.19,845071,2017-06-16 01:00:00-04:00
129.84,131.07,129.59,130.63,687266,2017-06-19 01:00:00-04:00
130.73,131.21,128.73,128.85,590674,2017-06-20 01:00:00-04:00
129.29,129.94,128.53,128.99,519745,2017-06-21 01:00:00-04:00
129.19,129.34,127.94,128.95,488380,2017-06-22 01:00:00-04:00
129.61,130.65,129.1,129.99,883094,2017-06-23 01:00:00-04:00
130.4,130.49,128.86,129.04,325329,2017-06-26 01:00:00-04:00
128.69,129.47,127.74,127.8,711695,2017-06-27 01:00:00-04:00
128.67,129.6,127.93,128.95,602045,2017-06-28 01:00:00-04:00
128.76,128.8,125.96,127.32,655834,2017-06-29 01:00:00-04:00
127.85,127.85,126.39,127.06,683192,2017-06-30 01:00:00-04:00
127.75,129.32,127.08,127.81,0,2017-07-03 01:00:00-04:00
128.31,129.32,127.48,128.91,468639,2017-07-05 01:00:00-04:00
128.19,128.76,126.75,127.15,714213,2017-07-06 01:00:00-04:00
127.97,129.1,127.15,127.63,612007,2017-07-07 01:00:00-04:00
127.26,128.309,127.0,127.88,500078,2017-07-10 01:00:00-04:00
128.09,128.76,127.07,128.65,634695,2017-07-11 01:00:00-04:00
129.42,129.76,128.31,129.35,953218,2017-07-12 01:00:00-04:00
129.55,130.0,127.09,128.29,842003,2017-07-13 01:00:00-04:00
123.54,124.32,120.1536,123.84,2142523,2017-07-14 01:00:00-04:00
124.32,126.83,123.61,126.58,907525,2017-07-17 01:00:00-04:00
125.95,126.75,125.24,126.63,568887,2017-07-18 01:00:00-04:00
126.94,128.04,126.78,127.64,703037,2017-07-19 01:00:00-04:00
127.93,128.595,126.93,127.24,542334,2017-07-20 01:00:00-04:00
127.0,127.76,126.2975,126.9,479580,2017-07-21 01:00:00-04:00
126.53,127.53,125.32,126.79,564127,2017-07-24 01:00:00-04:00
126.53,129.22,126.31,128.02,682302,2017-07-25 01:00:00-04:00
128.68,128.79,127.16,128.2,1315326,2017-07-26 01:00:00-04:00
118.25,120.0,115.63,119.02,3845933,2017-07-27 01:00:00-04:00
118.77,122.71,118.77,121.72,1458511,2017-07-28 01:00:00-04:00
122.15,122.15,120.01,120.75,806633,2017-07-31 01:00:00-04:00
121.08,121.43,119.98,121.15,863566,2017-08-01 01:00:00-04:00
120.07,120.25,118.97,119.08,1063292,2017-08-02 01:00:00-04:00
119.04,120.4,118.56,119.63,889609,2017-08-03 01:00:00-04:00
119.82,120.84,119.64,119.78,507471,2017-08-04 01:00:00-04:00
119.83,120.54,119.83,120.05,580403,2017-08-07 01:00:00-04:00
119.68,120.5,118.43,118.62,912332,2017-08-08 01:00:00-04:00
118.09,118.87,117.83,118.63,737674,2017-08-09 01:00:00-04:00
117.67,118.44,116.32,116.41,841613,2017-08-10 01:00:00-04:00
117.13,117.95,116.5,117.82,777869,2017-08-11 01:00:00-04:00
118.9,119.86,118.5,119.01,752025,2017-08-14 01:00:00-04:00
119.43,119.66,118.29,118.56,656397,2017-08-15 01:00:00-04:00
118.87,119.09,118.1,118.63,613482,2017-08-16 01:00:00-04:00
117.96,118.79,117.38,117.81,590904,2017-08-17 01:00:00-04:00
117.68,117.91,116.27,116.48,471347,2017-08-18 01:00:00-04:00
116.7,116.7,115.67,116.11,527159,2017-08-21 01:00:00-04:00
116.24,117.23,115.99,116.95,582159,2017-08-22 01:00:00-04:00
116.58,116.79,115.78,115.93,438361,2017-08-23 01:00:00-04:00
116.26,118.14,116.26,117.52,569811,2017-08-24 01:00:00-04:00
117.64,118.95,117.5,117.6,408054,2017-08-25 01:00:00-04:00
117.59,118.37,117.13,117.71,262832,2017-08-28 01:00:00-04:00
117.15,117.84,116.3423,117.74,281871,2017-08-29 01:00:00-04:00
117.92,119.22,117.56,118.64,478592,2017-08-30 01:00:00-04:00
118.34,119.74,118.09,119.38,666007,2017-08-31 01:00:00-04:00
119.91,119.91,118.3,118.57,379190,2017-09-01 01:00:00-04:00
118.16,118.47,116.12,116.45,735748,2017-09-05 01:00:00-04:00
116.63,116.93,115.95,116.58,887292,2017-09-06 01:00:00-04:00
116.93,116.96,114.93,115.66,698143,2017-09-07 01:00:00-04:00
115.21,115.92,114.76,115.56,490717,2017-09-08 01:00:00-04:00
116.25,117.99,116.25,117.55,814895,2017-09-11 01:00:00-04:00
117.84,119.03,117.07,117.58,669806,2017-09-12 01:00:00-04:00
117.31,117.31,116.15,116.54,316306,2017-09-13 01:00:00-04:00
116.21,117.02,116.0,116.91,721263,2017-09-14 01:00:00-04:00
116.74,117.22,116.23,116.62,1184030,2017-09-15 01:00:00-04:00
116.79,117.47,116.55,116.9,1061880,2017-09-18 01:00:00-04:00
117.5,117.63,116.43,116.76,614024,2017-09-19 01:00:00-04:00
116.42,117.32,115.91,116.83,651392,2017-09-20 01:00:00-04:00
116.84,118.2399,116.35,117.71,764618,2017-09-21 01:00:00-04:00
117.63,120.92,117.465,119.73,991503,2017-09-22 01:00:00-04:00
119.34,119.88,118.03,118.81,640198,2017-09-25 01:00:00-04:00
119.44,119.54,118.4,118.61,392125,2017-09-26 01:00:00-04:00
118.89,121.77,118.83,121.06,565153,2017-09-27 01:00:00-04:00
120.52,123.14,120.52,121.43,1107640,2017-09-28 01:00:00-04:00
122.09,122.59,120.35,120.56,798811,2017-09-29 01:00:00-04:00
120.81,124.03,120.81,123.72,621353,2017-10-02 01:00:00-04:00
122.42,122.95,117.55,117.82,1406111,2017-10-03 01:00:00-04:00
117.86,119.92,117.82,119.35,706020,2017-10-04 01:00:00-04:00
119.26,120.9,118.9,120.1,558645,2017-10-05 01:00:00-04:00
120.09,120.6,118.85,119.0,602843,2017-10-06 01:00:00-04:00
118.8,119.92,116.24,116.3,932636,2017-10-09 01:00:00-04:00
116.89,117.515,115.94,116.4,1007963,2017-10-10 01:00:00-04:00
116.13,116.27,114.63,115.99,893404,2017-10-11 01:00:00-04:00
115.4,116.69,115.04,115.69,987883,2017-10-12 01:00:00-04:00
115.76,116.83,115.45,116.7,989030,2017-10-13 01:00:00-04:00
116.82,117.05,115.66,115.79,505676,2017-10-16 01:00:00-04:00
116.16,116.501,115.67,116.28,609665,2017-10-17 01:00:00-04:00
116.3,117.13,115.67,116.74,536000,2017-10-18 01:00:00-04:00
116.46,117.535,115.53,117.39,371205,2017-10-19 01:00:00-04:00
118.0,119.95,117.75,119.48,828885,2017-10-20 01:00:00-04:00
119.46,119.53,118.14,118.27,696981,2017-10-23 01:00:00-04:00
118.33,119.45,118.33,119.15,641135,2017-10-24 01:00:00-04:00
118.67,119.89,118.08,119.31,1045701,2017-10-25 01:00:00-04:00
119.5,127.48,118.76,124.05,2431749,2017-10-26 01:00:00-04:00
124.27,126.39,120.33,121.18,1425751,2017-10-27 01:00:00-04:00
120.7,121.88,119.35,119.63,1272144,2017-10-30 01:00:00-04:00
119.95,121.48,119.41,121.27,944553,2017-10-31 01:00:00-04:00
120.94,121.88,119.91,120.6,993044,2017-11-01 01:00:00-04:00
119.52,121.66,119.51,121.01,954261,2017-11-02 01:00:00-04:00
120.51,121.395,119.5,119.65,835380,2017-11-03 01:00:00-04:00
119.6,121.41,119.6,120.2,861586,2017-11-06 01:00:00-05:00
120.13,120.47,119.57,120.13,610734,2017-11-07 01:00:00-05:00
120.21,121.8,119.66,121.34,651221,2017-11-08 01:00:00-05:00
120.82,122.15,120.39,120.96,794860,2017-11-09 01:00:00-05:00
120.6,120.935,119.61,119.71,698065,2017-11-10 01:00:00-05:00
119.5,121.03,119.4,120.85,503821,2017-11-13 01:00:00-05:00
120.4,121.48,119.77,121.22,424818,2017-11-14 01:00:00-05:00
120.74,121.2,119.64,119.79,436358,2017-11-15 01:00:00-05:00
120.8,122.165,119.53,122.06,598946,2017-11-16 01:00:00-05:00
121.81,123.74,121.19,123.58,573848,2017-11-17 01:00:00-05:00
123.58,123.95,122.12,122.54,744969,2017-11-20 01:00:00-05:00
123.27,123.43,121.224,122.45,756645,2017-11-21 01:00:00-05:00
122.41,123.14,121.59,122.02,569946,2017-11-22 01:00:00-05:00
122.25,123.3199,121.71,123.19,382514,2017-11-24 01:00:00-05:00
123.32,124.27,122.89,123.7,672170,2017-11-27 01:00:00-05:00
124.15,127.29,123.9,126.67,768220,2017-11-28 01:00:00-05:00
127.27,129.99,126.02,129.86,1118083,2017-11-29 01:00:00-05:00
130.21,134.5,129.16,134.2,2280060,2017-11-30 01:00:00-05:00
134.19,134.19,130.74,132.71,1015587,2017-12-01 01:00:00-05:00
133.29,134.24,132.38,132.53,919616,2017-12-04 01:00:00-05:00
132.63,133.46,131.99,132.6,743100,2017-12-05 01:00:00-05:00
132.31,132.95,130.73,131.47,675448,2017-12-06 01:00:00-05:00
131.28,132.32,130.83,131.83,618539,2017-12-07 01:00:00-05:00
132.7,132.77,131.425,132.74,525509,2017-12-08 01:00:00-05:00
132.54,133.22,132.03,133.15,965692,2017-12-11 01:00:00-05:00
133.14,136.35,132.51,135.49,1208320,2017-12-12 01:00:00-05:00
134.2,134.2,130.86,131.0,1075558,2017-12-13 01:00:00-05:00
131.26,131.92,130.15,130.23,728974,2017-12-14 01:00:00-05:00
131.16,132.5,130.17,131.06,1854154,2017-12-15 01:00:00-05:00
132.18,133.61,131.5,131.87,584124,2017-12-18 01:00:00-05:00
131.57,132.2,131.1,131.51,417250,2017-12-19 01:00:00-05:00
131.67,132.17,129.7,131.45,527494,2017-12-20 01:00:00-05:00
132.01,133.03,131.45,132.36,536965,2017-12-21 01:00:00-05:00
132.43,132.68,131.54,132.37,254153,2017-12-22 01:00:00-05:00
132.2,132.94,131.105,131.26,272195,2017-12-26 01:00:00-05:00
131.38,132.12,131.055,131.75,266152,2017-12-27 01:00:00-05:00
131.88,132.18,131.105,132.08,267215,2017-12-28 01:00:00-05:00
132.44,132.56,131.14,131.22,329550,2017-12-29 01:00:00-05:00
131.64,132.78,131.31,132.58,400836,2018-01-02 01:00:00-05:00
132.84,134.85,132.675,134.04,801593,2018-01-03 01:00:00-05:00
138.3,138.66,136.52,137.12,791122,2018-01-04 01:00:00-05:00
139.0,139.4,135.85,136.18,848604,2018-01-05 01:00:00-05:00
135.88,137.89,134.55,137.62,428077,2018-01-08 01:00:00-05:00
138.23,138.5,137.055,137.84,492138,2018-01-09 01:00:00-05:00
137.37,139.62,137.37,139.0,606069,2018-01-10 01:00:00-05:00
138.9,140.5,138.7,139.77,433143,2018-01-11 01:00:00-05:00
140.07,141.88,139.83,141.81,414789,2018-01-12 01:00:00-05:00
141.79,142.6,140.15,140.52,569654,2018-01-16 01:00:00-05:00
139.0,141.3,137.5,139.55,738209,2018-01-17 01:00:00-05:00
139.24,140.0,137.98,138.0,568261,2018-01-18 01:00:00-05:00
138.7,139.56,138.19,138.76,718491,2018-01-19 01:00:00-05:00
138.7,141.33,137.75,141.06,916819,2018-01-22 01:00:00-05:00
141.49,143.2159,141.08,142.59,642920,2018-01-23 01:00:00-05:00
142.76,143.0,140.82,142.13,1251158,2018-01-24 01:00:00-05:00
144.27,144.45,134.84,134.94,1838081,2018-01-25 01:00:00-05:00
136.13,139.25,136.13,138.24,2008646,2018-01-26 01:00:00-05:00
138.06,139.67,137.315,138.89,983072,2018-01-29 01:00:00-05:00
138.06,141.24,137.51,140.95,1130554,2018-01-30 01:00:00-05:00
140.89,144.61,140.28,144.54,1287009,2018-01-31 01:00:00-05:00
144.57,146.0,143.4,145.03,1165640,2018-02-01 01:00:00-05:00
142.84,145.36,142.83,144.13,1235409,2018-02-02 01:00:00-05:00
142.55,143.94,136.14,136.18,1287153,2018-02-05 01:00:00-05:00
133.58,140.07,133.14,139.73,1385675,2018-02-06 01:00:00-05:00
139.16,142.46,138.98,141.39,933167,2018-02-07 01:00:00-05:00
141.42,141.66,137.24,137.25,988641,2018-02-08 01:00:00-05:00
138.81,139.69,134.83,138.64,982388,2018-02-09 01:00:00-05:00
139.55,141.14,138.18,140.15,622824,2018-02-12 01:00:00-05:00
133.89,142.75,133.89,142.43,643178,2018-02-13 01:00:00-05:00
141.76,144.31,141.07,143.5,684950,2018-02-14 01:00:00-05:00
144.67,145.85,143.0,145.39,639532,2018-02-15 01:00:00-05:00
144.84,146.06,144.64,145.03,457999,2018-02-16 01:00:00-05:00
143.99,145.405,142.97,143.04,768392,2018-02-20 01:00:00-05:00
143.41,146.51,142.88,144.66,660779,2018-02-21 01:00:00-05:00
145.22,146.31,143.45,143.87,632707,2018-02-22 01:00:00-05:00
144.65,147.36,144.57,147.33,470123,2018-02-23 01:00:00-05:00
147.86,151.33,147.47,151.03,943998,2018-02-26 01:00:00-05:00
151.54,153.08,150.4725,150.84,1129617,2018-02-27 01:00:00-05:00
151.81,151.81,148.5,148.52,852992,2018-02-28 01:00:00-05:00
148.81,149.24,145.74,146.55,662974,2018-03-01 01:00:00-05:00
145.21,148.57,145.21,148.34,511898,2018-03-02 01:00:00-05:00
147.67,151.16,146.875,150.84,775985,2018-03-05 01:00:00-05:00
151.83,152.61,150.86,152.14,381428,2018-03-06 01:00:00-05:00
150.83,153.91,150.83,153.32,657639,2018-03-07 01:00:00-05:00
153.25,153.25,144.12,147.06,1433169,2018-03-08 01:00:00-05:00
148.2,149.77,145.94,147.48,919354,2018-03-09 01:00:00-05:00
147.98,148.29,146.28,146.78,665312,2018-03-12 01:00:00-04:00
147.75,148.86,146.67,147.84,801799,2018-03-13 01:00:00-04:00
148.54,149.36,147.3,147.92,601899,2018-03-14 01:00:00-04:00
148.14,149.3,146.74,148.15,622895,2018-03-15 01:00:00-04:00
148.24,150.21,147.41,148.18,838400,2018-03-16 01:00:00-04:00
147.46,148.76,145.84,146.8,515831,2018-03-19 01:00:00-04:00
147.11,149.32,147.11,148.9,490250,2018-03-20 01:00:00-04:00
149.3,151.07,148.3,149.55,591183,2018-03-21 01:00:00-04:00
148.24,149.43,146.24,146.27,511543,2018-03-22 01:00:00-04:00
147.34,147.86,144.49,144.51,598836,2018-03-23 01:00:00-04:00
146.0,147.72,144.33,147.6,590786,2018-03-26 01:00:00-04:00
148.4,148.97,144.26,144.96,637380,2018-03-27 01:00:00-04:00
144.93,145.36,142.38,142.61,518449,2018-03-28 01:00:00-04:00
143.59,145.26,142.07,144.61,521671,2018-03-29 01:00:00-04:00
143.93,144.33,139.84,140.71,723286,2018-04-02 01:00:00-04:00
141.95,143.05,141.06,142.34,697359,2018-04-03 01:00:00-04:00
140.15,143.86,138.67,143.41,729417,2018-04-04 01:00:00-04:00
144.23,144.8699,143.11,143.24,646215,2018-04-05 01:00:00-04:00
142.29,143.44,139.72,140.71,560917,2018-04-06 01:00:00-04:00
141.74,143.23,139.68,140.78,479847,2018-04-09 01:00:00-04:00
142.49,145.61,141.5276,144.94,720451,2018-04-10 01:00:00-04:00
144.19,146.65,144.16,145.39,507020,2018-04-11 01:00:00-04:00
146.6,149.1,146.39,148.35,396219,2018-04-12 01:00:00-04:00
153.62,157.2,153.1001,155.06,1798428,2018-04-13 01:00:00-04:00
156.0,156.3,153.98,155.25,970202,2018-04-16 01:00:00-04:00
155.83,161.5799,155.43,158.67,1166734,2018-04-17 01:00:00-04:00
159.22,159.9892,156.77,157.99,648463,2018-04-18 01:00:00-04:00
157.91,159.12,156.79,157.76,594361,2018-04-19 01:00:00-04:00
158.17,158.69,156.08,156.96,554701,2018-04-20 01:00:00-04:00
157.27,158.81,156.37,157.72,553667,2018-04-23 01:00:00-04:00
158.74,159.87,154.83,157.14,658811,2018-04-24 01:00:00-04:00
157.01,157.97,155.67,157.07,896943,2018-04-25 01:00:00-04:00
159.62,161.99,155.7,158.47,1311288,2018-04-26 01:00:00-04:00
159.05,161.71,158.77,160.84,758052,2018-04-27 01:00:00-04:00
160.84,163.48,160.5,163.09,1182204,2018-04-30 01:00:00-04:00
160.7,164.88,160.21,164.67,1018864,2018-05-01 01:00:00-04:00
162.58,166.86,162.0,165.72,935617,2018-05-02 01:00:00-04:00
164.54,168.63,164.09,168.32,1013731,2018-05-03 01:00:00-04:00
167.35,168.64,166.58,168.13,1114666,2018-05-04 01:00:00-04:00
168.52,170.21,168.01,169.2,812389,2018-05-07 01:00:00-04:00
170.82,170.92,168.58,169.63,808001,2018-05-08 01:00:00-04:00
169.94,172.41,169.45,172.0,770199,2018-05-09 01:00:00-04:00
172.99,174.26,172.12,172.76,802887,2018-05-10 01:00:00-04:00
172.3,172.79,170.23,171.76,653996,2018-05-11 01:00:00-04:00
172.0,173.35,170.93,172.59,472761,2018-05-14 01:00:00-04:00
171.99,172.27,169.82,171.2,746992,2018-05-15 01:00:00-04:00
170.33,171.82,169.36,171.04,695966,2018-05-16 01:00:00-04:00
