open,high,low,close,volume,datetime
122.91,122.98,121.33,122.68,720925,2016-08-15 01:00:00-04:00
122.55,122.96,122.02,122.24,790711,2016-08-16 01:00:00-04:00
122.36,122.58,121.55,122.26,608598,2016-08-17 01:00:00-04:00
122.13,122.65,122.07,122.39,550223,2016-08-18 01:00:00-04:00
121.93,122.94,121.56,122.77,803246,2016-08-19 01:00:00-04:00
122.38,122.6,121.65,122.26,670418,2016-08-22 01:00:00-04:00
122.8,123.28,122.3501,122.67,563673,2016-08-23 01:00:00-04:00
122.28,122.3,121.43,121.71,636079,2016-08-24 01:00:00-04:00
121.8,123.27,121.3,122.8,827996,2016-08-25 01:00:00-04:00
123.24,124.11,122.58,122.93,909915,2016-08-26 01:00:00-04:00
123.01,124.16,122.53,123.89,658806,2016-08-29 01:00:00-04:00
124.09,124.23,123.44,123.98,787618,2016-08-30 01:00:00-04:00
123.86,124.23,122.64,123.05,786257,2016-08-31 01:00:00-04:00
122.74,123.4,121.72,123.1,864788,2016-09-01 01:00:00-04:00
123.72,124.24,123.38,124.05,577499,2016-09-02 01:00:00-04:00
124.16,124.6,123.29,123.7,740739,2016-09-06 01:00:00-04:00
124.47,124.47,122.26,122.74,698799,2016-09-07 01:00:00-04:00
122.4,122.66,121.99,122.38,546304,2016-09-08 01:00:00-04:00
121.49,121.94,118.67,118.68,1270845,2016-09-09 01:00:00-04:00
118.33,120.44,118.202,120.06,923767,2016-09-12 01:00:00-04:00
119.5,120.14,117.17,117.55,1061193,2016-09-13 01:00:00-04:00
117.53,118.15,116.88,117.53,996891,2016-09-14 01:00:00-04:00
117.3,118.43,117.02,118.08,655759,2016-09-15 01:00:00-04:00
117.39,117.59,116.66,117.33,1057306,2016-09-16 01:00:00-04:00
118.01,118.4,117.31,117.62,600452,2016-09-19 01:00:00-04:00
117.97,118.22,117.155,117.31,1131075,2016-09-20 01:00:00-04:00
117.75,118.57,117.01,118.49,749604,2016-09-21 01:00:00-04:00
119.33,119.73,118.84,119.14,597111,2016-09-22 01:00:00-04:00
118.89,119.45,118.32,119.04,1107279,2016-09-23 01:00:00-04:00
119.05,119.52,118.38,118.93,806028,2016-09-26 01:00:00-04:00
118.67,120.0,118.46,119.92,866411,2016-09-27 01:00:00-04:00
120.45,121.44,119.97,121.3,889290,2016-09-28 01:00:00-04:00
121.06,121.8,120.41,120.73,777898,2016-09-29 01:00:00-04:00
120.83,122.07,120.7,121.72,956759,2016-09-30 01:00:00-04:00
121.55,121.74,120.81,121.11,735153,2016-10-03 01:00:00-04:00
121.05,121.26,119.69,120.16,932843,2016-10-04 01:00:00-04:00
120.23,120.97,119.89,120.01,672168,2016-10-05 01:00:00-04:00
119.74,120.97,119.28,120.54,607116,2016-10-06 01:00:00-04:00
120.49,120.49,118.64,119.02,538342,2016-10-07 01:00:00-04:00
119.67,120.0,118.98,119.07,493830,2016-10-10 01:00:00-04:00
118.48,119.135,116.5,117.16,864305,2016-10-11 01:00:00-04:00
117.0,117.68,116.68,117.14,705072,2016-10-12 01:00:00-04:00
116.46,117.39,116.02,117.01,660208,2016-10-13 01:00:00-04:00
117.63,117.82,116.75,116.76,903698,2016-10-14 01:00:00-04:00
116.49,116.79,116.2,116.34,656393,2016-10-17 01:00:00-04:00
117.51,117.55,116.57,116.6,634136,2016-10-18 01:00:00-04:00
116.8,117.3742,116.38,116.82,779145,2016-10-19 01:00:00-04:00
116.73,116.89,115.91,116.43,588722,2016-10-20 01:00:00-04:00
116.03,116.03,115.02,115.78,741254,2016-10-21 01:00:00-04:00
116.15,116.8,116.15,116.71,676940,2016-10-24 01:00:00-04:00
116.38,116.57,115.85,115.95,621153,2016-10-25 01:00:00-04:00
115.64,115.87,115.11,115.35,755271,2016-10-26 01:00:00-04:00
115.44,115.44,114.65,114.96,892293,2016-10-27 01:00:00-04:00
115.21,116.21,114.58,115.1,860134,2016-10-28 01:00:00-04:00
115.39,115.5999,114.0,114.17,1524146,2016-10-31 01:00:00-04:00
113.8,114.81,111.39,112.14,1673119,2016-11-01 01:00:00-04:00
112.16,112.57,111.5001,111.99,919866,2016-11-02 01:00:00-04:00
112.19,112.31,111.1,111.18,943048,2016-11-03 01:00:00-04:00
111.18,111.78,110.65,110.67,1012380,2016-11-04 01:00:00-04:00
111.97,113.01,111.76,112.87,840854,2016-11-07 01:00:00-05:00
112.82,114.01,112.64,113.6,583362,2016-11-08 01:00:00-05:00
111.81,115.18,111.0661,114.76,1346116,2016-11-09 01:00:00-05:00
115.0,116.99,114.69,116.15,1272914,2016-11-10 01:00:00-05:00
115.84,116.46,115.33,115.67,1062783,2016-11-11 01:00:00-05:00
115.79,116.1999,113.77,113.98,1329954,2016-11-14 01:00:00-05:00
113.98,114.28,113.5,114.14,912647,2016-11-15 01:00:00-05:00
114.13,114.84,114.05,114.78,619769,2016-11-16 01:00:00-05:00
114.64,114.88,114.115,114.83,759544,2016-11-17 01:00:00-05:00
114.65,115.27,114.09,114.28,710299,2016-11-18 01:00:00-05:00
114.84,115.23,114.36,114.92,530327,2016-11-21 01:00:00-05:00
114.99,116.56,114.886,116.36,990213,2016-11-22 01:00:00-05:00
116.31,117.44,116.31,116.79,754258,2016-11-23 01:00:00-05:00
116.75,116.84,116.12,116.64,359271,2016-11-25 01:00:00-05:00
116.14,117.0,116.05,116.34,1070936,2016-11-28 01:00:00-05:00
116.04,116.98,115.78,116.41,725806,2016-11-29 01:00:00-05:00
116.59,117.37,116.16,116.73,1276482,2016-11-30 01:00:00-05:00
116.91,118.55,116.71,118.49,1925706,2016-12-01 01:00:00-05:00
118.43,118.74,116.41,116.89,1166080,2016-12-02 01:00:00-05:00
117.35,119.05,117.0,118.56,1008441,2016-12-05 01:00:00-05:00
118.22,118.38,116.42,116.89,1136945,2016-12-06 01:00:00-05:00
116.98,118.82,116.64,118.81,1134250,2016-12-07 01:00:00-05:00
118.85,119.76,118.42,119.61,922648,2016-12-08 01:00:00-05:00
119.52,120.51,119.15,120.5,1121976,2016-12-09 01:00:00-05:00
120.68,121.81,120.485,121.47,834353,2016-12-12 01:00:00-05:00
122.0,122.25,121.25,122.22,1521436,2016-12-13 01:00:00-05:00
122.18,122.28,120.83,121.05,876611,2016-12-14 01:00:00-05:00
120.66,122.09,119.75,122.04,1199864,2016-12-15 01:00:00-05:00
121.75,122.0,120.2,120.27,2066009,2016-12-16 01:00:00-05:00
120.58,120.86,120.11,120.57,707724,2016-12-19 01:00:00-05:00
120.91,121.19,119.99,120.42,848001,2016-12-20 01:00:00-05:00
120.38,120.56,119.35,119.37,1105185,2016-12-21 01:00:00-05:00
119.18,119.48,118.3503,118.59,942347,2016-12-22 01:00:00-05:00
118.79,119.13,118.495,118.76,815999,2016-12-23 01:00:00-05:00
118.76,119.6,118.64,119.21,457906,2016-12-27 01:00:00-05:00
119.55,119.74,117.96,118.0,574823,2016-12-28 01:00:00-05:00
117.95,118.3361,117.48,117.71,450643,2016-12-29 01:00:00-05:00
118.05,118.27,116.92,117.22,715304,2016-12-30 01:00:00-05:00
118.12,118.41,117.29,118.04,1080581,2017-01-03 01:00:00-05:00
118.25,119.12,118.008,118.79,720000,2017-01-04 01:00:00-05:00
118.42,118.76,117.7,118.61,731556,2017-01-05 01:00:00-05:00
118.7,119.57,118.31,118.92,864621,2017-01-06 01:00:00-05:00
118.87,119.39,118.38,118.84,914265,2017-01-09 01:00:00-05:00
118.5,119.02,117.78,117.86,785249,2017-01-10 01:00:00-05:00
117.5,118.4753,117.33,118.32,772047,2017-01-11 01:00:00-05:00
117.77,118.71,117.53,118.64,897689,2017-01-12 01:00:00-05:00
118.75,119.22,118.36,118.57,596227,2017-01-13 01:00:00-05:00
118.24,119.04,117.69,118.68,755245,2017-01-17 01:00:00-05:00
118.81,119.19,117.99,119.07,1032134,2017-01-18 01:00:00-05:00
118.88,119.49,118.46,118.85,711427,2017-01-19 01:00:00-05:00
119.15,119.56,117.55,118.4,1355835,2017-01-20 01:00:00-05:00
118.32,119.42,118.1,119.35,927884,2017-01-23 01:00:00-05:00
119.85,122.0,119.401,121.65,1255940,2017-01-24 01:00:00-05:00
121.71,122.54,121.57,122.49,1127542,2017-01-25 01:00:00-05:00
122.64,122.64,120.57,120.95,910166,2017-01-26 01:00:00-05:00
120.78,121.51,120.43,121.29,671799,2017-01-27 01:00:00-05:00
121.22,121.54,120.07,121.49,975843,2017-01-30 01:00:00-05:00
121.19,121.75,119.77,120.13,1094118,2017-01-31 01:00:00-05:00
119.74,120.89,119.51,120.78,795627,2017-02-01 01:00:00-05:00
120.89,121.24,120.16,120.21,756248,2017-02-02 01:00:00-05:00
120.36,120.94,120.01,120.75,937914,2017-02-03 01:00:00-05:00
120.4,120.48,119.09,119.7,813093,2017-02-06 01:00:00-05:00
119.99,120.73,119.42,120.25,708817,2017-02-07 01:00:00-05:00
120.11,120.51,119.61,120.34,604609,2017-02-08 01:00:00-05:00
120.18,120.84,120.11,120.61,573626,2017-02-09 01:00:00-05:00
120.75,121.4,120.46,121.2,642734,2017-02-10 01:00:00-05:00
121.22,122.32,120.79,121.76,732763,2017-02-13 01:00:00-05:00
121.84,122.95,121.56,122.84,861663,2017-02-14 01:00:00-05:00
122.35,123.91,122.0481,123.4,1045664,2017-02-15 01:00:00-05:00
123.27,123.5,122.26,123.28,829738,2017-02-16 01:00:00-05:00
123.32,124.09,122.545,123.95,1249148,2017-02-17 01:00:00-05:00
122.8,124.3,121.82,124.03,2200025,2017-02-21 01:00:00-05:00
121.77,124.27,121.5,123.1,1290652,2017-02-22 01:00:00-05:00
123.5,123.62,122.52,122.76,1005198,2017-02-23 01:00:00-05:00
122.3,125.5,122.3,125.5,1757957,2017-02-24 01:00:00-05:00
125.5,125.98,123.81,123.84,1056814,2017-02-27 01:00:00-05:00
123.85,124.82,123.55,123.97,1328690,2017-02-28 01:00:00-05:00
125.0,126.1707,124.74,125.87,1052106,2017-03-01 01:00:00-05:00
125.59,125.83,125.01,125.09,764402,2017-03-02 01:00:00-05:00
124.93,125.63,124.68,125.25,909341,2017-03-03 01:00:00-05:00
124.77,125.48,124.74,125.06,729691,2017-03-06 01:00:00-05:00
125.17,125.45,124.44,124.72,842882,2017-03-07 01:00:00-05:00
124.64,125.655,124.3,124.5,1081808,2017-03-08 01:00:00-05:00
124.22,124.55,123.3374,123.69,1338874,2017-03-09 01:00:00-05:00
124.39,124.91,123.8799,124.25,1125271,2017-03-10 01:00:00-05:00
124.0,124.78,123.96,124.77,925641,2017-03-13 01:00:00-04:00
124.06,124.69,123.48,123.68,931053,2017-03-14 01:00:00-04:00
124.31,125.67,123.65,125.37,929636,2017-03-15 01:00:00-04:00
125.37,125.62,124.49,125.19,928330,2017-03-16 01:00:00-04:00
125.34,125.82,125.02,125.41,1732777,2017-03-17 01:00:00-04:00
125.11,125.77,124.82,125.13,766344,2017-03-20 01:00:00-04:00
125.02,125.54,123.955,124.2,913467,2017-03-21 01:00:00-04:00
124.29,124.86,123.91,124.24,732367,2017-03-22 01:00:00-04:00
124.14,124.97,123.65,124.18,996715,2017-03-23 01:00:00-04:00
124.17,124.6,123.51,123.83,1007543,2017-03-24 01:00:00-04:00
122.58,124.18,122.58,124.11,791442,2017-03-27 01:00:00-04:00
124.01,125.11,123.65,124.87,1083045,2017-03-28 01:00:00-04:00
124.59,125.1,124.38,124.78,671066,2017-03-29 01:00:00-04:00
124.83,125.42,124.76,125.34,575853,2017-03-30 01:00:00-04:00
124.66,125.98,124.66,125.34,1167677,2017-03-31 01:00:00-04:00
126.0,127.06,124.98,125.88,1514593,2017-04-03 01:00:00-04:00
125.85,126.04,124.42,125.06,1140081,2017-04-04 01:00:00-04:00
125.4,125.83,124.48,124.83,1102370,2017-04-05 01:00:00-04:00
124.88,125.78,124.78,125.21,795634,2017-04-06 01:00:00-04:00
124.85,125.59,124.7,125.25,841083,2017-04-07 01:00:00-04:00
125.29,126.35,125.1,125.87,750585,2017-04-10 01:00:00-04:00
125.6,126.14,125.1,125.66,617609,2017-04-11 01:00:00-04:00
125.14,125.82,124.68,124.96,855631,2017-04-12 01:00:00-04:00
124.75,125.44,124.46,124.47,598036,2017-04-13 01:00:00-04:00
124.97,125.42,124.73,125.42,472505,2017-04-17 01:00:00-04:00
124.57,125.39,124.57,125.31,672808,2017-04-18 01:00:00-04:00
125.68,126.2,125.53,125.71,885804,2017-04-19 01:00:00-04:00
125.93,126.59,125.64,126.35,675970,2017-04-20 01:00:00-04:00
126.42,126.75,126.02,126.2,656574,2017-04-21 01:00:00-04:00
127.26,127.63,126.79,127.3,1243357,2017-04-24 01:00:00-04:00
127.78,128.55,127.6,128.25,773887,2017-04-25 01:00:00-04:00
128.24,129.0,127.98,128.8,1106391,2017-04-26 01:00:00-04:00
128.94,129.44,128.74,129.37,933080,2017-04-27 01:00:00-04:00
129.21,129.49,128.93,129.09,1384834,2017-04-28 01:00:00-04:00
128.69,129.85,128.42,129.25,1363896,2017-05-01 01:00:00-04:00
125.92,128.02,125.05,125.26,2895754,2017-05-02 01:00:00-04:00
125.5,126.01,125.3,125.57,1213511,2017-05-03 01:00:00-04:00
125.57,126.26,125.07,126.22,999159,2017-05-04 01:00:00-04:00
126.18,126.76,126.05,126.47,803252,2017-05-05 01:00:00-04:00
126.55,127.33,125.78,125.95,802464,2017-05-08 01:00:00-04:00
125.95,126.35,125.045,125.61,831900,2017-05-09 01:00:00-04:00
125.5,126.9,125.5,126.66,968242,2017-05-10 01:00:00-04:00
126.67,126.96,125.97,126.73,849523,2017-05-11 01:00:00-04:00
126.63,127.39,126.45,126.51,932409,2017-05-12 01:00:00-04:00
126.51,128.42,126.51,127.27,847478,2017-05-15 01:00:00-04:00
127.15,128.08,127.15,127.38,843736,2017-05-16 01:00:00-04:00
126.67,127.17,126.23,126.39,926897,2017-05-17 01:00:00-04:00
126.54,127.25,126.26,126.74,1079531,2017-05-18 01:00:00-04:00
126.99,127.32,126.66,127.09,2893207,2017-05-19 01:00:00-04:00
127.61,128.3,127.32,127.82,1122349,2017-05-22 01:00:00-04:00
127.68,128.28,127.68,128.05,730029,2017-05-23 01:00:00-04:00
128.3,129.78,128.0701,129.31,872383,2017-05-24 01:00:00-04:00
129.8,130.52,129.51,130.31,803236,2017-05-25 01:00:00-04:00
130.76,131.49,130.75,131.3,870525,2017-05-26 01:00:00-04:00
131.16,131.65,130.6419,131.56,1037329,2017-05-30 01:00:00-04:00
131.85,133.01,131.26,132.84,945976,2017-05-31 01:00:00-04:00
132.99,133.96,132.84,133.78,982407,2017-06-01 01:00:00-04:00
133.86,134.4,133.26,134.33,818825,2017-06-02 01:00:00-04:00
134.36,134.37,133.63,133.66,836452,2017-06-05 01:00:00-04:00
133.35,133.93,132.42,133.35,745665,2017-06-06 01:00:00-04:00
133.57,133.96,133.25,133.52,727402,2017-06-07 01:00:00-04:00
133.4,133.6,132.45,132.73,882785,2017-06-08 01:00:00-04:00
133.31,133.84,132.84,133.81,1090958,2017-06-09 01:00:00-04:00
133.51,133.97,132.8,133.18,775650,2017-06-12 01:00:00-04:00
133.22,134.6,132.76,134.49,774839,2017-06-13 01:00:00-04:00
134.79,134.89,133.64,133.88,650597,2017-06-14 01:00:00-04:00
133.73,134.38,132.86,133.85,981410,2017-06-15 01:00:00-04:00
133.69,134.28,133.5,134.28,1609118,2017-06-16 01:00:00-04:00
134.43,134.74,133.895,134.61,670372,2017-06-19 01:00:00-04:00
134.16,134.45,133.88,134.11,605701,2017-06-20 01:00:00-04:00
134.03,134.54,132.04,132.14,1084264,2017-06-21 01:00:00-04:00
132.14,132.8,131.63,131.68,780829,2017-06-22 01:00:00-04:00
131.7,132.36,131.31,131.66,1038830,2017-06-23 01:00:00-04:00
131.74,132.5,131.52,132.02,948748,2017-06-26 01:00:00-04:00
132.0,132.46,131.7,131.78,868986,2017-06-27 01:00:00-04:00
132.62,133.3,132.365,132.9,621073,2017-06-28 01:00:00-04:00
132.89,132.99,130.88,131.45,826270,2017-06-29 01:00:00-04:00
132.0,133.23,131.81,132.75,995796,2017-06-30 01:00:00-04:00
133.19,133.47,132.49,132.94,715554,2017-07-03 01:00:00-04:00
133.28,133.99,133.12,133.27,970475,2017-07-05 01:00:00-04:00
133.07,133.465,132.14,132.18,768522,2017-07-06 01:00:00-04:00
132.18,132.785,131.62,132.62,886687,2017-07-07 01:00:00-04:00
132.63,132.84,131.675,132.05,767767,2017-07-10 01:00:00-04:00
132.17,132.65,131.45,131.89,607520,2017-07-11 01:00:00-04:00
132.66,133.41,132.56,133.04,820323,2017-07-12 01:00:00-04:00
133.05,133.11,131.85,132.06,577185,2017-07-13 01:00:00-04:00
132.28,132.94,131.93,132.72,542041,2017-07-14 01:00:00-04:00
132.8,132.99,131.79,132.17,1017665,2017-07-17 01:00:00-04:00
132.01,132.71,131.95,132.45,630297,2017-07-18 01:00:00-04:00
132.68,133.06,132.34,133.05,812239,2017-07-19 01:00:00-04:00
132.85,133.15,132.11,132.45,812678,2017-07-20 01:00:00-04:00
132.29,133.42,132.26,133.05,611502,2017-07-21 01:00:00-04:00
132.76,133.18,131.64,132.04,710747,2017-07-24 01:00:00-04:00
132.76,133.26,132.5401,132.9,584193,2017-07-25 01:00:00-04:00
132.83,132.83,132.15,132.45,595394,2017-07-26 01:00:00-04:00
132.48,132.825,131.11,131.82,829646,2017-07-27 01:00:00-04:00
131.94,132.56,131.39,131.92,847774,2017-07-28 01:00:00-04:00
132.5,133.06,131.5,131.67,1395428,2017-07-31 01:00:00-04:00
131.08,131.62,127.18,131.43,1603411,2017-08-01 01:00:00-04:00
131.39,133.06,131.19,132.9,1047352,2017-08-02 01:00:00-04:00
132.9,133.0,132.24,132.62,899457,2017-08-03 01:00:00-04:00
132.69,133.25,132.35,132.9,628210,2017-08-04 01:00:00-04:00
133.0,133.19,131.92,131.95,893277,2017-08-07 01:00:00-04:00
131.95,132.07,130.83,131.24,636925,2017-08-08 01:00:00-04:00
131.36,132.38,131.35,132.36,690619,2017-08-09 01:00:00-04:00
132.06,132.33,130.19,130.23,770269,2017-08-10 01:00:00-04:00
130.72,130.88,129.74,129.81,618651,2017-08-11 01:00:00-04:00
130.43,131.46,130.0,131.46,674826,2017-08-14 01:00:00-04:00
131.16,131.88,130.97,131.15,824033,2017-08-15 01:00:00-04:00
131.43,132.73,131.43,132.41,678887,2017-08-16 01:00:00-04:00
131.51,132.155,130.22,130.23,727430,2017-08-17 01:00:00-04:00
130.35,130.65,129.73,130.11,720840,2017-08-18 01:00:00-04:00
130.16,130.74,129.63,130.4,559790,2017-08-21 01:00:00-04:00
130.63,131.64,130.41,131.48,506214,2017-08-22 01:00:00-04:00
131.2,131.37,130.64,130.78,470980,2017-08-23 01:00:00-04:00
130.78,131.2672,130.01,130.33,701884,2017-08-24 01:00:00-04:00
131.09,131.5248,130.76,131.04,470403,2017-08-25 01:00:00-04:00
131.01,131.52,130.51,131.46,745024,2017-08-28 01:00:00-04:00
130.97,131.02,130.47,130.87,573537,2017-08-29 01:00:00-04:00
130.87,131.04,130.46,130.98,606062,2017-08-30 01:00:00-04:00
131.58,133.46,131.35,133.3,1254924,2017-08-31 01:00:00-04:00
133.57,133.68,131.98,132.85,726143,2017-09-01 01:00:00-04:00
132.92,133.39,132.2,133.23,857486,2017-09-05 01:00:00-04:00
132.86,134.28,129.97,130.89,1968210,2017-09-06 01:00:00-04:00
131.1,131.62,130.52,131.53,999032,2017-09-07 01:00:00-04:00
131.14,131.37,130.48,131.12,716147,2017-09-08 01:00:00-04:00
131.49,131.49,129.58,129.83,1716389,2017-09-11 01:00:00-04:00
129.82,130.38,129.2,129.98,1154712,2017-09-12 01:00:00-04:00
129.73,129.905,129.24,129.42,747220,2017-09-13 01:00:00-04:00
129.32,131.0299,129.21,131.01,1101699,2017-09-14 01:00:00-04:00
131.03,131.49,130.54,131.05,1208174,2017-09-15 01:00:00-04:00
131.05,131.44,130.47,130.53,886569,2017-09-18 01:00:00-04:00
130.96,131.12,130.38,130.74,652630,2017-09-19 01:00:00-04:00
130.95,131.38,130.24,130.8,833616,2017-09-20 01:00:00-04:00
130.86,131.18,130.58,130.94,1095914,2017-09-21 01:00:00-04:00
131.0,131.44,130.735,131.33,761922,2017-09-22 01:00:00-04:00
131.34,131.66,130.47,131.49,861777,2017-09-25 01:00:00-04:00
131.8,131.99,130.17,130.23,562957,2017-09-26 01:00:00-04:00
130.28,130.28,127.63,128.97,1054163,2017-09-27 01:00:00-04:00
128.95,129.5799,128.75,129.27,585960,2017-09-28 01:00:00-04:00
129.27,129.65,128.53,128.61,858249,2017-09-29 01:00:00-04:00
128.58,130.75,128.382,130.65,1174992,2017-10-02 01:00:00-04:00
130.9,131.43,130.39,130.56,850315,2017-10-03 01:00:00-04:00
130.72,131.52,130.3954,130.76,835550,2017-10-04 01:00:00-04:00
131.17,131.81,130.43,131.74,772222,2017-10-05 01:00:00-04:00
131.37,132.02,131.27,131.97,769087,2017-10-06 01:00:00-04:00
132.01,132.2,131.52,132.06,619692,2017-10-09 01:00:00-04:00
132.06,132.95,132.06,132.7,776498,2017-10-10 01:00:00-04:00
132.93,133.08,131.53,132.55,677043,2017-10-11 01:00:00-04:00
132.43,133.92,132.43,133.91,679915,2017-10-12 01:00:00-04:00
134.23,134.87,133.851,134.09,888999,2017-10-13 01:00:00-04:00
134.32,134.81,134.12,134.45,949682,2017-10-16 01:00:00-04:00
134.14,134.5,132.34,132.58,1266677,2017-10-17 01:00:00-04:00
132.67,133.3,131.29,131.7,1102342,2017-10-18 01:00:00-04:00
131.56,131.96,130.95,131.74,626425,2017-10-19 01:00:00-04:00
132.21,132.8,131.85,132.8,622453,2017-10-20 01:00:00-04:00
132.6,133.29,132.4,132.6,687281,2017-10-23 01:00:00-04:00
133.08,133.3,132.2,132.3,710249,2017-10-24 01:00:00-04:00
132.38,132.84,131.6275,132.49,1079009,2017-10-25 01:00:00-04:00
133.3,133.88,132.42,132.67,806207,2017-10-26 01:00:00-04:00
132.52,132.89,131.32,131.99,923370,2017-10-27 01:00:00-04:00
131.65,131.85,130.82,130.92,1103063,2017-10-30 01:00:00-04:00
131.76,133.74,129.15,130.66,2009284,2017-10-31 01:00:00-04:00
130.09,131.72,129.16,131.27,1269391,2017-11-01 01:00:00-04:00
131.35,131.62,130.43,131.24,1144048,2017-11-02 01:00:00-04:00
131.23,132.41,130.84,131.38,1869828,2017-11-03 01:00:00-04:00
131.2,132.89,131.16,131.91,710805,2017-11-06 01:00:00-05:00
131.58,132.1,130.575,130.95,958521,2017-11-07 01:00:00-05:00
130.95,131.35,130.11,130.39,1012077,2017-11-08 01:00:00-05:00
130.43,130.67,129.51,130.25,825444,2017-11-09 01:00:00-05:00
129.82,130.63,129.25,130.3,1298437,2017-11-10 01:00:00-05:00
130.22,131.8,129.8,131.64,1072645,2017-11-13 01:00:00-05:00
131.18,131.97,130.24,131.4,1359775,2017-11-14 01:00:00-05:00
131.2,131.35,130.12,130.23,1104543,2017-11-15 01:00:00-05:00
130.52,132.53,130.36,131.99,1423070,2017-11-16 01:00:00-05:00
131.58,131.95,130.835,131.45,1425153,2017-11-17 01:00:00-05:00
131.28,132.7,131.07,132.13,1222687,2017-11-20 01:00:00-05:00
132.62,133.25,132.1537,132.45,1247288,2017-11-21 01:00:00-05:00
132.86,133.6095,132.225,132.99,1331221,2017-11-22 01:00:00-05:00
133.29,133.55,132.66,132.86,281941,2017-11-24 01:00:00-05:00
132.97,133.585,132.59,132.81,881045,2017-11-27 01:00:00-05:00
133.47,134.25,133.47,134.25,1827906,2017-11-28 01:00:00-05:00
134.27,135.07,133.64,135.0,897673,2017-11-29 01:00:00-05:00
135.23,136.78,135.15,135.92,1453220,2017-11-30 01:00:00-05:00
136.45,136.62,133.961,134.89,1019216,2017-12-01 01:00:00-05:00
135.48,137.79,135.0701,137.26,1509864,2017-12-04 01:00:00-05:00
137.43,137.955,137.1,137.42,1154549,2017-12-05 01:00:00-05:00
137.29,137.56,136.615,136.88,1018120,2017-12-06 01:00:00-05:00
136.52,137.03,135.54,135.92,938129,2017-12-07 01:00:00-05:00
136.58,136.58,135.08,135.33,862460,2017-12-08 01:00:00-05:00
135.8,136.0,134.46,134.67,1488752,2017-12-11 01:00:00-05:00
134.7,134.9,133.76,134.85,1143785,2017-12-12 01:00:00-05:00
