open,high,low,close,volume,datetime
139.29,140.1,138.49,139.72,19344826,2017-03-15 01:00:00-04:00
140.2,140.25,139.73,139.99,13612942,2017-03-16 01:00:00-04:00
140.34,140.34,139.7,139.84,20592818,2017-03-17 01:00:00-04:00
139.71,140.19,139.25,139.94,12099471,2017-03-20 01:00:00-04:00
141.15,142.3082,138.4,138.51,29894784,2017-03-21 01:00:00-04:00
137.93,139.79,137.6,139.59,17055449,2017-03-22 01:00:00-04:00
139.48,140.39,139.09,139.53,13022801,2017-03-23 01:00:00-04:00
140.08,141.0244,139.76,140.34,16664683,2017-03-24 01:00:00-04:00
139.05,140.65,138.77,140.32,12800544,2017-03-27 01:00:00-04:00
140.36,141.95,140.01,141.76,14679436,2017-03-28 01:00:00-04:00
141.99,142.86,141.43,142.65,16527574,2017-03-29 01:00:00-04:00
142.4,142.95,141.85,142.41,12403997,2017-03-30 01:00:00-04:00
142.31,142.63,141.89,142.05,11478265,2017-03-31 01:00:00-04:00
141.93,142.47,140.82,142.28,13563960,2017-04-03 01:00:00-04:00
141.86,142.09,141.27,141.73,12948599,2017-04-04 01:00:00-04:00
142.26,143.44,141.29,141.85,17158059,2017-04-05 01:00:00-04:00
142.11,142.22,140.91,141.17,15103426,2017-04-06 01:00:00-04:00
141.2,141.55,140.24,140.78,11818341,2017-04-07 01:00:00-04:00
141.0,141.43,140.63,141.04,9039366,2017-04-10 01:00:00-04:00
140.8,141.0299,138.81,139.92,16638087,2017-04-11 01:00:00-04:00
139.72,140.4,139.44,139.58,11612456,2017-04-12 01:00:00-04:00
139.62,140.58,139.33,139.39,10965614,2017-04-13 01:00:00-04:00
139.76,141.55,139.75,141.42,11519663,2017-04-17 01:00:00-04:00
141.27,141.905,140.61,140.96,14807472,2017-04-18 01:00:00-04:00
141.35,143.04,141.27,142.27,15563945,2017-04-19 01:00:00-04:00
142.95,144.25,142.689,143.8,15968164,2017-04-20 01:00:00-04:00
143.9,144.17,142.27,143.68,12382002,2017-04-21 01:00:00-04:00
144.96,145.6738,144.34,145.47,14407175,2017-04-24 01:00:00-04:00
145.79,147.15,145.7898,146.49,17767523,2017-04-25 01:00:00-04:00
147.09,147.59,146.09,146.56,12394959,2017-04-26 01:00:00-04:00
146.67,147.75,146.14,147.7,11275112,2017-04-27 01:00:00-04:00
149.5,151.53,149.07,150.25,30652248,2017-04-28 01:00:00-04:00
151.74,152.57,151.42,152.46,25218300,2017-05-01 01:00:00-04:00
153.34,153.44,151.66,152.78,21870380,2017-05-02 01:00:00-04:00
153.6,153.6,151.34,151.8,29782492,2017-05-03 01:00:00-04:00
150.17,151.52,148.72,150.85,36225452,2017-05-04 01:00:00-04:00
151.45,151.63,149.79,150.24,17148543,2017-05-05 01:00:00-04:00
150.71,151.08,149.74,151.06,15827488,2017-05-08 01:00:00-04:00
151.49,152.59,150.21,150.48,17453859,2017-05-09 01:00:00-04:00
150.23,150.52,148.86,150.29,12080650,2017-05-10 01:00:00-04:00
150.31,150.65,149.41,150.04,11841864,2017-05-11 01:00:00-04:00
150.4,150.46,149.63,150.33,9598229,2017-05-12 01:00:00-04:00
150.17,151.48,149.77,150.19,15064664,2017-05-15 01:00:00-04:00
150.11,150.21,149.03,149.78,14550830,2017-05-16 01:00:00-04:00
148.0,148.67,144.4216,144.85,28300050,2017-05-17 01:00:00-04:00
144.72,148.15,144.51,147.66,23031566,2017-05-18 01:00:00-04:00
148.445,149.39,147.96,148.06,16187892,2017-05-19 01:00:00-04:00
148.08,148.59,147.69,148.24,12586712,2017-05-22 01:00:00-04:00
148.52,148.81,147.25,148.07,12817837,2017-05-23 01:00:00-04:00
148.51,150.23,148.42,150.04,17940668,2017-05-24 01:00:00-04:00
150.3,152.59,149.95,151.96,19891352,2017-05-25 01:00:00-04:00
152.23,152.25,151.15,152.13,14996185,2017-05-26 01:00:00-04:00
151.97,152.9,151.64,152.38,13226007,2017-05-30 01:00:00-04:00
152.7,153.35,151.09,151.46,18023917,2017-05-31 01:00:00-04:00
151.75,152.29,150.3,151.53,14530600,2017-06-01 01:00:00-04:00
151.85,153.63,151.3,153.61,16854365,2017-06-02 01:00:00-04:00
153.64,154.7088,153.41,153.63,12520387,2017-06-05 01:00:00-04:00
153.41,154.52,152.48,152.81,13457119,2017-06-06 01:00:00-04:00
153.27,153.75,152.34,153.12,12066657,2017-06-07 01:00:00-04:00
154.08,154.73,153.1,154.71,17799449,2017-06-08 01:00:00-04:00
154.77,155.59,146.61,149.6,35577676,2017-06-09 01:00:00-04:00
148.17,149.195,144.56,148.44,33170180,2017-06-12 01:00:00-04:00
150.15,151.18,148.9,150.68,20483350,2017-06-13 01:00:00-04:00
151.26,152.4,149.05,150.25,20808759,2017-06-14 01:00:00-04:00
147.67,150.0366,146.3747,149.8,18994152,2017-06-15 01:00:00-04:00
149.59,150.83,148.6,150.64,22882417,2017-06-16 01:00:00-04:00
151.71,153.57,151.71,152.87,19026462,2017-06-19 01:00:00-04:00
152.88,153.84,152.21,152.25,14743853,2017-06-20 01:00:00-04:00
152.36,154.08,151.88,153.91,15039834,2017-06-21 01:00:00-04:00
153.01,154.55,152.91,153.4,13005535,2017-06-22 01:00:00-04:00
152.72,155.2,152.65,155.07,18026977,2017-06-23 01:00:00-04:00
156.25,156.5,153.1954,153.59,18049651,2017-06-26 01:00:00-04:00
152.84,153.31,150.39,150.58,19360766,2017-06-27 01:00:00-04:00
150.92,153.47,149.86,153.24,16719104,2017-06-28 01:00:00-04:00
152.28,152.5,148.9175,151.04,23973482,2017-06-29 01:00:00-04:00
151.9,151.92,150.06,150.98,17666022,2017-06-30 01:00:00-04:00
151.72,152.15,147.8,148.43,13862735,2017-07-03 01:00:00-04:00
149.0,150.85,148.13,150.34,14334290,2017-07-05 01:00:00-04:00
149.03,150.04,148.0,148.82,14951802,2017-07-06 01:00:00-04:00
149.25,151.99,149.19,151.44,13615931,2017-07-07 01:00:00-04:00
151.69,153.98,151.51,153.5,13378672,2017-07-10 01:00:00-04:00
153.37,155.4225,152.91,155.27,13667744,2017-07-11 01:00:00-04:00
156.49,159.16,156.2,158.9,22739388,2017-07-12 01:00:00-04:00
158.74,159.78,158.4227,159.26,13929236,2017-07-13 01:00:00-04:00
160.13,160.32,159.3254,159.97,16371207,2017-07-14 01:00:00-04:00
160.25,160.78,158.81,159.73,12858836,2017-07-17 01:00:00-04:00
159.66,163.73,159.42,162.86,23722910,2017-07-18 01:00:00-04:00
163.59,165.7,163.17,164.14,26273642,2017-07-19 01:00:00-04:00
164.8,165.0,162.81,164.53,18523107,2017-07-20 01:00:00-04:00
164.16,165.05,163.75,164.43,14744002,2017-07-21 01:00:00-04:00
164.64,166.17,164.31,166.0,17366971,2017-07-24 01:00:00-04:00
165.01,165.54,163.8619,165.28,15383241,2017-07-25 01:00:00-04:00
166.01,166.01,164.1,165.61,35236867,2017-07-26 01:00:00-04:00
174.7,175.49,167.5,170.44,68910708,2017-07-27 01:00:00-04:00
169.07,173.43,169.05,172.45,24557553,2017-07-28 01:00:00-04:00
172.0,172.72,168.55,169.25,25478945,2017-07-31 01:00:00-04:00
169.82,170.47,169.05,169.86,14384957,2017-08-01 01:00:00-04:00
170.3,170.55,166.91,169.3,17433774,2017-08-02 01:00:00-04:00
169.3,169.7,168.25,168.59,10793841,2017-08-03 01:00:00-04:00
168.97,170.06,168.69,169.62,10777727,2017-08-04 01:00:00-04:00
169.95,172.06,169.66,171.98,12787844,2017-08-07 01:00:00-04:00
171.88,173.05,170.62,171.23,14393524,2017-08-08 01:00:00-04:00
169.98,171.45,169.56,171.18,10814984,2017-08-09 01:00:00-04:00
170.06,170.59,166.85,167.4,20832746,2017-08-10 01:00:00-04:00
167.95,168.82,166.85,168.08,13791153,2017-08-11 01:00:00-04:00
170.09,171.08,169.29,170.75,12954231,2017-08-14 01:00:00-04:00
171.49,171.5,170.01,171.0,8729172,2017-08-15 01:00:00-04:00
171.25,171.38,169.24,170.0,15779924,2017-08-16 01:00:00-04:00
169.34,169.86,166.85,166.91,17216030,2017-08-17 01:00:00-04:00
166.84,168.67,166.21,167.41,15093638,2017-08-18 01:00:00-04:00
167.16,168.0,165.82,167.78,11907488,2017-08-21 01:00:00-04:00
168.28,169.87,167.15,169.64,11390975,2017-08-22 01:00:00-04:00
168.84,169.36,168.2,168.71,9856473,2017-08-23 01:00:00-04:00
168.88,169.29,166.41,167.74,14030420,2017-08-24 01:00:00-04:00
167.86,168.38,166.18,166.32,12614477,2017-08-25 01:00:00-04:00
166.91,167.7,166.33,167.24,8553741,2017-08-28 01:00:00-04:00
165.25,168.425,165.0,168.05,11120986,2017-08-29 01:00:00-04:00
168.17,170.18,167.63,169.92,11138293,2017-08-30 01:00:00-04:00
170.4,172.145,170.06,171.97,17226465,2017-08-31 01:00:00-04:00
172.4,172.915,171.31,172.02,11677589,2017-09-01 01:00:00-04:00
171.27,172.3875,169.55,170.72,13221127,2017-09-05 01:00:00-04:00
170.91,172.48,169.57,172.09,13906342,2017-09-06 01:00:00-04:00
171.94,173.3067,170.27,173.21,18049527,2017-09-07 01:00:00-04:00
173.09,173.49,170.8,170.95,10998459,2017-09-08 01:00:00-04:00
172.4,173.89,172.2,173.51,12372040,2017-09-11 01:00:00-04:00
173.76,174.0,171.75,172.96,11186328,2017-09-12 01:00:00-04:00
173.01,173.17,172.06,173.05,9119295,2017-09-13 01:00:00-04:00
172.26,172.28,170.5,170.96,15615654,2017-09-14 01:00:00-04:00
170.88,172.34,170.26,171.64,15660539,2017-09-15 01:00:00-04:00
171.99,172.07,169.34,170.01,12954013,2017-09-18 01:00:00-04:00
170.62,172.56,170.36,172.52,13168595,2017-09-19 01:00:00-04:00
172.5,173.05,170.7,172.17,12264125,2017-09-20 01:00:00-04:00
171.69,172.27,170.01,171.11,11161412,2017-09-21 01:00:00-04:00
170.21,171.73,169.22,170.54,12097138,2017-09-22 01:00:00-04:00
169.24,169.3,161.56,162.87,41251583,2017-09-25 01:00:00-04:00
164.5,165.5,162.78,164.21,23363335,2017-09-26 01:00:00-04:00
165.9,168.34,165.57,167.68,19242548,2017-09-27 01:00:00-04:00
167.94,169.0696,167.16,168.73,12178747,2017-09-28 01:00:00-04:00
168.83,171.66,168.81,170.87,15340366,2017-09-29 01:00:00-04:00
171.39,171.87,168.75,169.47,13392280,2017-10-02 01:00:00-04:00
169.3,170.73,169.2,169.96,8190273,2017-10-03 01:00:00-04:00
169.83,170.67,168.29,168.42,12127887,2017-10-04 01:00:00-04:00
169.18,171.31,168.6,171.24,14580628,2017-10-05 01:00:00-04:00
170.25,172.37,169.75,172.23,13124473,2017-10-06 01:00:00-04:00
172.7,174.88,172.0,172.5,14570413,2017-10-09 01:00:00-04:00
173.0,173.2,170.8,171.59,11341081,2017-10-10 01:00:00-04:00
171.95,172.78,171.4,172.74,11283663,2017-10-11 01:00:00-04:00
172.61,173.85,172.29,172.55,10351044,2017-10-12 01:00:00-04:00
173.45,174.65,173.2,173.74,13658307,2017-10-13 01:00:00-04:00
174.49,175.0,174.06,174.52,11498752,2017-10-16 01:00:00-04:00
174.71,176.13,174.36,176.11,15990079,2017-10-17 01:00:00-04:00
176.65,176.74,175.75,176.03,12752351,2017-10-18 01:00:00-04:00
174.93,176.03,172.63,174.56,14048350,2017-10-19 01:00:00-04:00
175.5,175.88,174.63,174.98,12602238,2017-10-20 01:00:00-04:00
175.2,175.34,171.25,171.27,13852658,2017-10-23 01:00:00-04:00
172.3,173.24,171.5,171.8,12267913,2017-10-24 01:00:00-04:00
171.9,172.25,168.89,170.6,15868197,2017-10-25 01:00:00-04:00
171.38,172.285,170.39,170.63,11833141,2017-10-26 01:00:00-04:00
174.15,178.21,173.9,177.88,30285281,2017-10-27 01:00:00-04:00
179.26,180.69,177.61,179.87,24353160,2017-10-30 01:00:00-04:00
180.57,180.8,178.94,180.06,20174231,2017-10-31 01:00:00-04:00
182.36,182.9,180.57,182.66,40918341,2017-11-01 01:00:00-04:00
180.63,181.94,177.34,178.92,35529893,2017-11-02 01:00:00-04:00
179.29,179.86,176.71,178.92,17822131,2017-11-03 01:00:00-04:00
178.56,180.45,178.31,180.17,13312741,2017-11-06 01:00:00-05:00
180.5,180.7478,178.96,180.25,12928182,2017-11-07 01:00:00-05:00
179.79,180.35,179.11,179.56,10494149,2017-11-08 01:00:00-05:00
178.31,179.4,177.09,179.3,12610335,2017-11-09 01:00:00-05:00
178.35,179.0999,177.96,178.46,11070189,2017-11-10 01:00:00-05:00
177.5,179.04,177.3,178.77,9523447,2017-11-13 01:00:00-05:00
178.13,178.97,177.18,178.07,9585868,2017-11-14 01:00:00-05:00
176.66,178.57,176.4,177.95,10253667,2017-11-15 01:00:00-05:00
178.76,179.83,178.5,179.59,15607582,2017-11-16 01:00:00-05:00
179.3,179.98,178.9,179.0,13017980,2017-11-17 01:00:00-05:00
178.87,179.5,178.1,178.74,10052391,2017-11-20 01:00:00-05:00
179.15,181.89,178.99,181.86,14503990,2017-11-21 01:00:00-05:00
181.3,181.73,180.44,180.87,10376329,2017-11-22 01:00:00-05:00
180.4,183.15,180.29,182.78,9426283,2017-11-24 01:00:00-05:00
182.56,183.73,181.99,183.03,12344516,2017-11-27 01:00:00-05:00
183.51,184.25,182.09,182.42,14379674,2017-11-28 01:00:00-05:00
181.89,181.97,174.0,175.13,41933484,2017-11-29 01:00:00-05:00
176.85,178.275,175.2,177.18,25307601,2017-11-30 01:00:00-05:00
176.03,177.48,172.34,175.1,20182523,2017-12-01 01:00:00-05:00
176.29,176.57,170.79,171.47,24459422,2017-12-04 01:00:00-05:00
170.45,175.38,169.01,172.83,20184908,2017-12-05 01:00:00-05:00
172.5,176.77,171.9,176.06,20255846,2017-12-06 01:00:00-05:00
175.8,180.39,175.8,180.14,20404533,2017-12-07 01:00:00-05:00
181.53,182.28,178.7401,179.0,19883764,2017-12-08 01:00:00-05:00
179.3,180.22,178.8,179.04,13168575,2017-12-11 01:00:00-05:00
178.6,179.18,176.6,176.96,16854098,2017-12-12 01:00:00-05:00
177.3,179.16,177.25,178.3,14615718,2017-12-13 01:00:00-05:00
178.29,180.3601,177.68,178.39,13590999,2017-12-14 01:00:00-05:00
179.02,180.4934,178.36,180.18,28463101,2017-12-15 01:00:00-05:00
181.01,181.3,179.75,180.82,17265376,2017-12-18 01:00:00-05:00
179.95,180.08,178.22,179.51,14920582,2017-12-19 01:00:00-05:00
179.81,179.81,177.36,177.89,11860497,2017-12-20 01:00:00-05:00
177.94,178.68,177.05,177.45,11600700,2017-12-21 01:00:00-05:00
177.14,177.53,176.23,177.2,8509451,2017-12-22 01:00:00-05:00
176.63,177.0,174.67,175.99,8897286,2017-12-26 01:00:00-05:00
176.55,178.44,176.26,177.62,9496071,2017-12-27 01:00:00-05:00
177.95,178.9367,177.68,177.92,12220760,2017-12-28 01:00:00-05:00
178.0,178.85,176.46,176.46,10261456,2017-12-29 01:00:00-05:00
177.68,181.58,177.55,181.42,18151903,2018-01-02 01:00:00-05:00
181.88,184.78,181.33,184.67,16886563,2018-01-03 01:00:00-05:00
184.9,186.21,184.0996,184.33,13880896,2018-01-04 01:00:00-05:00
185.59,186.9,184.93,186.85,13574535,2018-01-05 01:00:00-05:00
187.2,188.9,186.33,188.28,17994726,2018-01-08 01:00:00-05:00
188.7,188.8,187.1,187.87,12393057,2018-01-09 01:00:00-05:00
186.94,187.89,185.63,187.84,10529894,2018-01-10 01:00:00-05:00
188.4,188.4,187.38,187.77,9588587,2018-01-11 01:00:00-05:00
178.06,181.48,177.4,179.37,77551299,2018-01-12 01:00:00-05:00
181.5,181.75,178.04,178.39,36183842,2018-01-16 01:00:00-05:00
179.26,179.32,175.8,177.6,27992376,2018-01-17 01:00:00-05:00
178.13,180.98,177.08,179.8,23304901,2018-01-18 01:00:00-05:00
180.85,182.37,180.1702,181.29,26826540,2018-01-19 01:00:00-05:00
180.8,185.39,180.41,185.37,21059464,2018-01-22 01:00:00-05:00
186.05,189.55,185.55,189.35,25678781,2018-01-23 01:00:00-05:00
189.89,190.66,186.52,186.55,24334548,2018-01-24 01:00:00-05:00
187.95,188.62,186.6,187.48,17377740,2018-01-25 01:00:00-05:00
187.75,190.0,186.81,190.0,17759212,2018-01-26 01:00:00-05:00
188.75,188.84,185.6301,185.98,20453172,2018-01-29 01:00:00-05:00
183.01,188.18,181.84,187.12,20858556,2018-01-30 01:00:00-05:00
188.37,189.83,185.22,186.89,43275144,2018-01-31 01:00:00-05:00
188.22,195.32,187.89,193.09,54211293,2018-02-01 01:00:00-05:00
192.04,194.21,189.98,190.28,26677484,2018-02-02 01:00:00-05:00
186.93,190.61,180.61,181.26,33128206,2018-02-05 01:00:00-05:00
178.57,185.77,177.74,185.31,37758505,2018-02-06 01:00:00-05:00
184.15,185.0817,179.95,180.18,27601886,2018-02-07 01:00:00-05:00
181.01,181.84,171.4815,171.58,38478321,2018-02-08 01:00:00-05:00
174.76,176.9,167.18,176.11,39887626,2018-02-09 01:00:00-05:00
177.06,177.545,171.84,176.41,32092133,2018-02-12 01:00:00-05:00
175.62,175.97,173.1,173.15,21809350,2018-02-13 01:00:00-05:00
173.45,179.81,173.2119,179.52,28929704,2018-02-14 01:00:00-05:00
180.5,180.5,176.84,179.96,20922120,2018-02-15 01:00:00-05:00
178.99,179.88,176.3,177.36,21015610,2018-02-16 01:00:00-05:00
175.77,177.95,175.11,176.01,21204921,2018-02-20 01:00:00-05:00
176.71,181.27,176.4,177.91,23200804,2018-02-21 01:00:00-05:00
178.7,180.21,177.41,178.99,18464192,2018-02-22 01:00:00-05:00
179.9,183.39,179.51,183.29,19007288,2018-02-23 01:00:00-05:00
184.58,185.66,183.2228,184.93,17599703,2018-02-26 01:00:00-05:00
184.45,184.7,181.46,181.46,15849806,2018-02-27 01:00:00-05:00
182.3,182.88,178.14,178.32,18783039,2018-02-28 01:00:00-05:00
179.01,180.12,174.41,175.94,23201626,2018-03-01 01:00:00-05:00
173.29,177.11,172.99,176.62,20025905,2018-03-02 01:00:00-05:00
176.2,181.1475,175.89,180.4,16189280,2018-03-05 01:00:00-05:00
181.78,182.38,179.11,179.78,15086784,2018-03-06 01:00:00-05:00
178.74,183.82,178.07,183.71,19097293,2018-03-07 01:00:00-05:00
183.56,184.4,181.45,182.34,17225946,2018-03-08 01:00:00-05:00
183.91,185.51,183.21,185.23,18526292,2018-03-09 01:00:00-05:00
185.23,186.1,184.22,184.76,15301229,2018-03-12 01:00:00-04:00
185.61,185.99,181.11,181.88,18067477,2018-03-13 01:00:00-04:00
182.6,184.25,181.85,184.19,16821728,2018-03-14 01:00:00-04:00
183.24,184.0,182.19,183.86,15645035,2018-03-15 01:00:00-04:00
184.49,185.33,183.41,185.09,24403438,2018-03-16 01:00:00-04:00
177.01,177.17,170.06,172.56,88140060,2018-03-19 01:00:00-04:00
167.47,170.2,161.95,168.15,129851768,2018-03-20 01:00:00-04:00
164.8,173.4,163.3,169.39,106598834,2018-03-21 01:00:00-04:00
166.13,170.27,163.72,164.89,73742979,2018-03-22 01:00:00-04:00
165.44,167.1,159.02,159.39,53609706,2018-03-23 01:00:00-04:00
160.82,161.1,149.02,160.06,126116634,2018-03-26 01:00:00-04:00
156.31,162.85,150.75,152.22,79116995,2018-03-27 01:00:00-04:00
151.65,155.88,150.8,153.03,60029170,2018-03-28 01:00:00-04:00
155.15,161.42,154.14,159.79,59434293,2018-03-29 01:00:00-04:00
157.81,159.2,154.111,155.39,36795991,2018-04-02 01:00:00-04:00
156.55,157.39,150.81,156.11,42543865,2018-04-03 01:00:00-04:00
152.025,155.56,150.51,155.1,49885584,2018-04-04 01:00:00-04:00
161.56,161.575,156.65,159.34,41449609,2018-04-05 01:00:00-04:00
157.73,161.42,156.81,157.2,41644812,2018-04-06 01:00:00-04:00
157.82,160.53,156.04,157.93,34915227,2018-04-09 01:00:00-04:00
157.93,165.98,157.01,165.04,58947041,2018-04-10 01:00:00-04:00
165.36,168.65,163.25,166.32,56144633,2018-04-11 01:00:00-04:00
166.98,167.45,163.1,163.87,38262956,2018-04-12 01:00:00-04:00
164.58,165.7036,163.77,164.52,19990561,2018-04-13 01:00:00-04:00
165.7249,165.78,163.39,164.83,18119435,2018-04-16 01:00:00-04:00
165.83,169.0,165.66,168.66,22743029,2018-04-17 01:00:00-04:00
166.88,168.12,165.77,166.36,20969568,2018-04-18 01:00:00-04:00
166.2,168.33,165.2,168.1,22234961,2018-04-19 01:00:00-04:00
167.79,168.43,165.81,166.28,19119438,2018-04-20 01:00:00-04:00
167.27,168.45,165.09,165.84,23088102,2018-04-23 01:00:00-04:00
165.43,166.1,158.19,159.69,35079926,2018-04-24 01:00:00-04:00
160.1448,161.06,156.19,159.69,41083581,2018-04-25 01:00:00-04:00
173.22,176.27,170.8,174.16,77556934,2018-04-26 01:00:00-04:00
176.81,177.1,172.6,173.59,29804657,2018-04-27 01:00:00-04:00
173.79,175.72,171.71,172.0,20750478,2018-04-30 01:00:00-04:00
172.0,174.02,170.23,173.86,26025932,2018-05-01 01:00:00-04:00
174.246,178.08,174.2,176.07,30424450,2018-05-02 01:00:00-04:00
175.13,176.12,172.12,174.02,24026071,2018-05-03 01:00:00-04:00
173.08,176.98,173.06,176.61,17677844,2018-05-04 01:00:00-04:00
177.35,179.5,177.17,177.97,18697195,2018-05-07 01:00:00-04:00
178.25,179.04,177.11,178.92,15577211,2018-05-08 01:00:00-04:00
179.67,183.01,178.7807,182.66,23282811,2018-05-09 01:00:00-04:00
183.15,186.1292,182.5,185.53,21071403,2018-05-10 01:00:00-04:00
184.85,188.32,184.18,186.99,21207848,2018-05-11 01:00:00-04:00
187.71,187.86,186.2,186.64,15646744,2018-05-14 01:00:00-04:00
184.88,185.29,183.2,184.32,15429433,2018-05-15 01:00:00-04:00
183.6952,184.32,182.66,183.2,16975495,2018-05-16 01:00:00-04:00
182.68,184.06,182.22,183.76,14840675,2018-05-17 01:00:00-04:00
183.49,184.19,182.61,182.68,13130451,2018-05-18 01:00:00-04:00
183.77,185.3,183.13,184.49,13532864,2018-05-21 01:00:00-04:00
184.93,185.42,183.43,183.8,12731419,2018-05-22 01:00:00-04:00
182.5,186.91,182.18,186.9,16628100,2018-05-23 01:00:00-04:00
185.88,186.8,185.03,185.93,12354742,2018-05-24 01:00:00-04:00
186.02,186.33,184.45,184.92,10965061,2018-05-25 01:00:00-04:00
184.34,186.81,183.71,185.74,16398937,2018-05-29 01:00:00-04:00
186.54,188.0,185.25,187.67,13736866,2018-05-30 01:00:00-04:00
187.87,192.72,187.48,191.78,30782631,2018-05-31 01:00:00-04:00
193.065,194.5492,192.07,193.99,17307245,2018-06-01 01:00:00-04:00
191.84,193.98,191.47,193.28,18939795,2018-06-04 01:00:00-04:00
194.3,195.0,192.62,192.94,15544294,2018-06-05 01:00:00-04:00
191.0252,192.53,189.11,191.34,22558920,2018-06-06 01:00:00-04:00
