open,high,low,close,volume,datetime
99.97,100.08,97.32,98.63,1064342,2018-04-27 01:00:00-04:00
100.42,100.63,98.2,99.71,1297718,2018-04-30 01:00:00-04:00
99.37,104.37,99.17,104.3,2736930,2018-05-01 01:00:00-04:00
104.05,106.42,103.69,104.88,2586244,2018-05-02 01:00:00-04:00
104.25,110.82,98.87,105.1,9052298,2018-05-03 01:00:00-04:00
104.04,110.0,104.04,108.76,2369023,2018-05-04 01:00:00-04:00
110.28,110.84,107.79,110.2,2127595,2018-05-07 01:00:00-04:00
110.42,112.455,109.67,111.3,2659323,2018-05-08 01:00:00-04:00
113.13,117.39,111.935,115.99,3122700,2018-05-09 01:00:00-04:00
116.68,117.4,115.37,117.06,1971241,2018-05-10 01:00:00-04:00
117.15,117.37,115.35,116.09,1931008,2018-05-11 01:00:00-04:00
116.9399,117.09,113.65,114.4,2438026,2018-05-14 01:00:00-04:00
113.22,113.815,111.94,113.47,2339677,2018-05-15 01:00:00-04:00
113.51,114.95,112.43,113.07,4140560,2018-05-16 01:00:00-04:00
113.33,118.91,112.51,113.88,6114445,2018-05-17 01:00:00-04:00
113.0,116.0,112.71,115.81,2533016,2018-05-18 01:00:00-04:00
116.57,118.44,113.9,115.96,2436752,2018-05-21 01:00:00-04:00
115.96,116.49,113.0,113.24,1274664,2018-05-22 01:00:00-04:00
112.1,112.89,111.16,112.6,2144302,2018-05-23 01:00:00-04:00
112.41,112.61,109.86,112.07,1544655,2018-05-24 01:00:00-04:00
111.87,112.75,111.28,112.02,1058344,2018-05-25 01:00:00-04:00
110.8,111.84,109.73,110.78,2132770,2018-05-29 01:00:00-04:00
111.52,111.95,109.92,110.63,1207655,2018-05-30 01:00:00-04:00
110.89,114.04,110.19,112.08,2182074,2018-05-31 01:00:00-04:00
112.55,114.87,111.31,114.59,1482667,2018-06-01 01:00:00-04:00
114.26,115.75,112.757,113.68,1416861,2018-06-04 01:00:00-04:00
111.3,113.9988,111.09,113.26,2375266,2018-06-05 01:00:00-04:00
113.92,114.32,112.11,112.59,1338641,2018-06-06 01:00:00-04:00
112.6,113.77,111.71,113.42,1175914,2018-06-07 01:00:00-04:00
113.07,114.77,112.01,113.42,1248796,2018-06-08 01:00:00-04:00
113.78,114.94,112.93,113.32,1079871,2018-06-11 01:00:00-04:00
113.33,114.79,113.21,114.7,1675583,2018-06-12 01:00:00-04:00
115.0,119.38,114.9965,118.46,3050748,2018-06-13 01:00:00-04:00
119.21,123.1,118.88,121.84,3060358,2018-06-14 01:00:00-04:00
121.87,123.189,120.38,121.51,2539831,2018-06-15 01:00:00-04:00
120.86,120.92,119.391,120.69,1309847,2018-06-18 01:00:00-04:00
118.91,120.02,116.47,117.83,1464125,2018-06-19 01:00:00-04:00
118.89,119.05,117.18,118.01,1390694,2018-06-20 01:00:00-04:00
118.05,118.56,115.831,116.5,1164956,2018-06-21 01:00:00-04:00
117.0,118.51,115.2,116.96,3053423,2018-06-22 01:00:00-04:00
115.64,117.19,113.79,116.73,2475553,2018-06-25 01:00:00-04:00
117.7,119.29,115.8,115.91,2101188,2018-06-26 01:00:00-04:00
116.41,117.23,113.95,113.96,1603873,2018-06-27 01:00:00-04:00
113.95,118.98,113.52,118.06,2195042,2018-06-28 01:00:00-04:00
118.82,120.3,118.27,118.36,1633510,2018-06-29 01:00:00-04:00
117.87,120.21,117.0,119.87,1155256,2018-07-02 01:00:00-04:00
120.0,120.0,117.77,118.15,834095,2018-07-03 01:00:00-04:00
119.39,121.0,118.66,120.82,1614153,2018-07-05 01:00:00-04:00
120.91,123.63,120.541,123.44,1377983,2018-07-06 01:00:00-04:00
124.43,124.43,120.06,121.97,1229963,2018-07-09 01:00:00-04:00
121.99,122.37,119.31,121.15,1237061,2018-07-10 01:00:00-04:00
120.38,124.34,120.01,122.74,1671246,2018-07-11 01:00:00-04:00
123.27,126.5736,123.27,126.24,1300043,2018-07-12 01:00:00-04:00
126.5,126.75,124.807,126.35,946821,2018-07-13 01:00:00-04:00
126.25,126.89,125.67,125.89,1060134,2018-07-16 01:00:00-04:00
124.6,127.92,124.51,126.68,1433846,2018-07-17 01:00:00-04:00
126.55,127.615,125.85,126.81,1594270,2018-07-18 01:00:00-04:00
127.54,128.24,126.61,127.41,1391527,2018-07-19 01:00:00-04:00
127.01,128.18,126.09,126.61,2202310,2018-07-20 01:00:00-04:00
126.51,127.12,125.11,126.8,1122159,2018-07-23 01:00:00-04:00
127.84,127.84,123.41,125.16,2068201,2018-07-24 01:00:00-04:00
125.64,128.7,124.55,127.84,1858246,2018-07-25 01:00:00-04:00
127.51,127.67,124.89,125.33,1167706,2018-07-26 01:00:00-04:00
124.01,125.47,120.99,122.58,2172762,2018-07-27 01:00:00-04:00
122.23,122.43,112.55,113.11,3623205,2018-07-30 01:00:00-04:00
113.75,115.71,112.43,113.02,2564059,2018-07-31 01:00:00-04:00
112.34,115.96,111.92,112.24,2236713,2018-08-01 01:00:00-04:00
111.785,113.79,111.0674,113.24,3536011,2018-08-02 01:00:00-04:00
129.47,130.43,122.09,123.41,7965640,2018-08-03 01:00:00-04:00
122.8,123.88,120.0,121.32,2998027,2018-08-06 01:00:00-04:00
121.31,122.905,119.86,122.21,1753110,2018-08-07 01:00:00-04:00
122.07,125.62,121.16,124.95,2162903,2018-08-08 01:00:00-04:00
125.39,125.85,123.86,125.2,1558373,2018-08-09 01:00:00-04:00
124.4,130.0,124.4,128.8,2666920,2018-08-10 01:00:00-04:00
129.07,131.77,127.91,128.1,1869845,2018-08-13 01:00:00-04:00
128.93,130.2,127.13,129.09,1041527,2018-08-14 01:00:00-04:00
127.89,128.61,124.45,125.95,2267502,2018-08-15 01:00:00-04:00
127.33,127.33,124.89,125.94,1173816,2018-08-16 01:00:00-04:00
125.26,126.1301,123.6,124.3,1078167,2018-08-17 01:00:00-04:00
124.65,125.6,122.29,124.88,1829093,2018-08-20 01:00:00-04:00
125.33,126.9,124.37,126.42,1315856,2018-08-21 01:00:00-04:00
126.04,130.43,125.9,129.23,1770810,2018-08-22 01:00:00-04:00
129.4,131.52,128.14,130.68,2036548,2018-08-23 01:00:00-04:00
131.66,134.63,131.27,134.01,1928708,2018-08-24 01:00:00-04:00
135.26,135.9,132.741,133.37,1200061,2018-08-27 01:00:00-04:00
133.85,134.34,132.12,133.66,988416,2018-08-28 01:00:00-04:00
135.22,138.63,134.77,136.09,2015610,2018-08-29 01:00:00-04:00
136.0,138.65,134.54,134.64,1853488,2018-08-30 01:00:00-04:00
133.57,133.93,130.51,133.56,2403864,2018-08-31 01:00:00-04:00
133.18,135.48,131.53,134.53,1172975,2018-09-04 01:00:00-04:00
134.3,134.45,127.57,128.9,1698771,2018-09-05 01:00:00-04:00
129.795,130.78,127.81,130.35,1351676,2018-09-06 01:00:00-04:00
129.43,132.19,128.68,130.54,1378533,2018-09-07 01:00:00-04:00
131.6,131.66,128.77,129.16,1340650,2018-09-10 01:00:00-04:00
130.5,134.93,128.52,133.92,1654732,2018-09-11 01:00:00-04:00
133.74,134.47,131.14,133.48,1079448,2018-09-12 01:00:00-04:00
134.35,136.37,133.16,136.26,1101901,2018-09-13 01:00:00-04:00
136.75,136.99,133.7125,134.11,985195,2018-09-14 01:00:00-04:00
134.4,134.66,131.01,131.48,1237205,2018-09-17 01:00:00-04:00
131.08,134.54,130.69,132.72,1172948,2018-09-18 01:00:00-04:00
132.55,132.6,128.93,130.57,1466312,2018-09-19 01:00:00-04:00
131.12,132.5,129.67,130.95,1573806,2018-09-20 01:00:00-04:00
132.08,134.18,131.04,132.07,2887054,2018-09-21 01:00:00-04:00
131.28,135.67,130.63,134.88,1421388,2018-09-24 01:00:00-04:00
135.3,136.335,134.52,135.55,1092361,2018-09-25 01:00:00-04:00
136.22,137.23,134.34,134.53,1395852,2018-09-26 01:00:00-04:00
134.87,137.61,134.66,137.07,1293486,2018-09-27 01:00:00-04:00
137.07,139.6,136.43,137.99,1770849,2018-09-28 01:00:00-04:00
138.12,139.909,135.55,137.41,1790146,2018-10-01 01:00:00-04:00
138.0,138.0,133.75,134.38,1932302,2018-10-02 01:00:00-04:00
135.0,136.27,133.91,136.11,1623579,2018-10-03 01:00:00-04:00
135.18,135.7621,129.4701,131.88,1972621,2018-10-04 01:00:00-04:00
132.26,133.8,128.6,130.6,1370131,2018-10-05 01:00:00-04:00
129.56,129.99,124.78,126.82,1755039,2018-10-08 01:00:00-04:00
126.73,130.0,124.38,127.95,1602341,2018-10-09 01:00:00-04:00
129.99,130.25,121.1,122.25,2616700,2018-10-10 01:00:00-04:00
122.33,124.91,120.8,122.26,2595083,2018-10-11 01:00:00-04:00
126.73,130.8997,125.86,129.05,2571846,2018-10-12 01:00:00-04:00
128.27,129.43,124.48,127.78,1375632,2018-10-15 01:00:00-04:00
129.28,132.36,129.25,132.02,1792282,2018-10-16 01:00:00-04:00
132.75,133.66,130.4,132.06,1225262,2018-10-17 01:00:00-04:00
131.18,131.18,124.85,126.87,2414493,2018-10-18 01:00:00-04:00
127.82,128.9,122.0341,122.45,2095198,2018-10-19 01:00:00-04:00
122.69,123.06,120.02,120.51,2229849,2018-10-22 01:00:00-04:00
117.77,119.43,115.8,118.78,2289281,2018-10-23 01:00:00-04:00
118.75,119.63,110.82,110.97,2730029,2018-10-24 01:00:00-04:00
116.83,124.975,116.3,120.7,3890904,2018-10-25 01:00:00-04:00
116.18,123.46,116.18,120.06,2604371,2018-10-26 01:00:00-04:00
122.35,122.83,109.34,111.72,4546442,2018-10-29 01:00:00-04:00
121.53,125.49,117.5161,124.01,7150992,2018-10-30 01:00:00-04:00
125.5,130.01,124.1446,128.87,3394471,2018-10-31 01:00:00-04:00
129.66,129.95,125.93,128.91,1818048,2018-11-01 01:00:00-04:00
128.8,130.16,126.66,128.37,1565611,2018-11-02 01:00:00-04:00
128.61,128.99,124.55,126.7,1571338,2018-11-05 01:00:00-05:00
125.56,127.29,121.89,123.68,1774801,2018-11-06 01:00:00-05:00
126.15,128.14,124.55,125.81,3921002,2018-11-07 01:00:00-05:00
129.11,129.98,117.8,119.14,7483993,2018-11-08 01:00:00-05:00
115.64,116.39,109.34,113.05,6327750,2018-11-09 01:00:00-05:00
111.27,112.22,105.59,109.03,5024698,2018-11-12 01:00:00-05:00
109.05,110.95,106.49,107.0,3146041,2018-11-13 01:00:00-05:00
107.66,109.7525,104.67,106.57,2577431,2018-11-14 01:00:00-05:00
105.9,114.41,105.725,113.06,5046948,2018-11-15 01:00:00-05:00
111.35,114.66,110.66,113.93,3867005,2018-11-16 01:00:00-05:00
115.25,115.5,104.77,106.0,4352928,2018-11-19 01:00:00-05:00
100.8,106.83,97.57,104.72,3263337,2018-11-20 01:00:00-05:00
107.05,108.49,105.56,106.84,2069114,2018-11-21 01:00:00-05:00
105.18,107.48,104.98,105.5,641581,2018-11-23 01:00:00-05:00
107.32,110.53,106.25,110.44,1837700,2018-11-26 01:00:00-05:00
109.75,111.7,108.25,109.56,1480043,2018-11-27 01:00:00-05:00
109.9,111.245,107.77,110.63,2003471,2018-11-28 01:00:00-05:00
109.5,112.95,109.165,111.91,1518223,2018-11-29 01:00:00-05:00
111.39,112.2,108.9,109.67,2561872,2018-11-30 01:00:00-05:00
112.0,112.0069,100.96,103.46,8216996,2018-12-03 01:00:00-05:00
104.375,106.505,100.5,101.69,3848849,2018-12-04 01:00:00-05:00
99.0,106.55,98.0,106.2,3470396,2018-12-06 01:00:00-05:00
105.24,108.18,101.71,102.67,2899899,2018-12-07 01:00:00-05:00
102.12,105.9,102.11,105.24,1812556,2018-12-10 01:00:00-05:00
107.46,107.9085,104.58,105.42,3398111,2018-12-11 01:00:00-05:00
107.83,108.13,103.48,104.19,3947367,2018-12-12 01:00:00-05:00
105.08,106.59,102.91,105.9,2291278,2018-12-13 01:00:00-05:00
103.87,105.899,102.24,103.46,1762608,2018-12-14 01:00:00-05:00
102.5,105.87,100.4393,102.19,1840527,2018-12-17 01:00:00-05:00
103.39,104.76,102.51,103.43,1367406,2018-12-18 01:00:00-05:00
102.88,107.18,102.12,103.05,1906296,2018-12-19 01:00:00-05:00
101.82,104.86,100.57,102.1,2230601,2018-12-20 01:00:00-05:00
102.48,104.72,99.91,101.37,3389688,2018-12-21 01:00:00-05:00
99.76,101.9,98.5,98.76,1305899,2018-12-24 01:00:00-05:00
99.9,104.7099,99.64,104.63,2041238,2018-12-26 01:00:00-05:00
101.98,106.16,101.1652,106.15,2067801,2018-12-27 01:00:00-05:00
107.18,107.35,103.51,104.57,1897800,2018-12-28 01:00:00-05:00
105.06,105.75,101.96,102.94,2169912,2018-12-31 01:00:00-05:00
100.24,104.52,99.04,104.01,1947440,2019-01-02 01:00:00-05:00
102.4,103.0,99.11,99.15,2301077,2019-01-03 01:00:00-05:00
101.13,103.76,99.6601,101.7,3610836,2019-01-04 01:00:00-05:00
101.5,104.94,99.29,104.41,2501858,2019-01-07 01:00:00-05:00
106.21,109.45,105.25,107.92,2402187,2019-01-08 01:00:00-05:00
108.7,109.58,107.19,107.46,1765795,2019-01-09 01:00:00-05:00
